statement,label
James Murray Spangler  was an inventor. That person invented a Hall effect.,0
Rudolf Diesel  was an inventor. That person invented a diesel engine.,1
Robert Moog  was an inventor. That person invented a Moog synthesizer.,1
Ami Argand  was an inventor. That person invented a Argand lamp.,1
Alessandro Volta  was an inventor. That person invented a electric streetcar system.,0
Carlos Glidden  was an inventor. That person invented a neon lighting.,0
R. Buckminster Fuller  was an inventor. That person invented a xerography.,0
Robert Noyce  was an inventor. That person invented a integrated circuit.,1
Ferdinand von Zeppelin  was an inventor. That person invented a various inventions and concepts (theoretical).,0
Ernesto Blanco  was an inventor. That person invented a electric wheelchair.,1
Frank Julian Sprague  was an inventor. That person invented a electric streetcar system.,1
Shinya Yamanaka  was an inventor. That person invented a induced pluripotent stem cells.,1
Candace Pert  was an inventor. That person invented a electroencephalography (EEG).,0
Charles Strite  was an inventor. That person invented a pop-up toaster.,1
Joseph Henry  was an inventor. That person invented a electromagnetic relay.,1
Edwin Link  was an inventor. That person invented a flight simulator (Link Trainer).,1
August Horch  was an inventor. That person invented a alternating current (AC) electrical system.,0
Leon Theremin  was an inventor. That person invented a theremin.,1
Alexander Fleming  was an inventor. That person invented a penicillin discovery.,1
John Bardeen  was an inventor. That person invented a improved electrical resistor.,0
Ralph Benjamin  was an inventor. That person invented a trackball.,1
Stephanie Kwolek  was an inventor. That person invented a electroencephalography (EEG).,0
ÃScott de Martinville  was an inventor. That person invented a nylon.,0
Frank Bunker Gilbreth  was an inventor. That person invented a motion study.,1
R. Buckminster Fuller  was an inventor. That person invented a geodesic dome.,1
Hippolyte MÃ¨ge-MouriÃ¨s  was an inventor. That person invented a marine chronometer.,0
John Logie Baird  was an inventor. That person invented a mechanical television.,1
Ernesto Blanco  was an inventor. That person invented a microphone (carbon).,0
Andr-Jacques Garnerin  was an inventor. That person invented a hot bulb engine.,0
Lloyd Groff Copeman  was an inventor. That person invented a early telephone prototype.,0
Walter Hunt  was an inventor. That person invented a safety pin.,1
Charles Townes  was an inventor. That person invented a maser.,1
Richard Gatling  was an inventor. That person invented a Gatling gun.,1
George Devol  was an inventor. That person invented a Unimate (first industrial robot).,1
Gustaf DalÃ©n  was an inventor. That person invented a AGA lighthouse.,1
Benjamin Holt  was an inventor. That person invented a vaccine jet injector.,0
Johannes Gutenberg  was an inventor. That person invented a movable type printing press.,1
Clarence Birdseye  was an inventor. That person invented a airship (non-rigid).,0
Gustaf DalÃ©n  was an inventor. That person invented a electric wheelchair.,0
Charles Babbage  was an inventor. That person invented a analytical engine (mechanical computer).,1
Otis Boykin  was an inventor. That person invented a improved electrical resistor.,1
James Hargreaves  was an inventor. That person invented a spinning jenny.,1
Hedy Lamarr  was an inventor. That person invented a frequency hopping spread spectrum.,1
Jacob Perkins  was an inventor. That person invented a jet engine.,0
Whitcomb Judson  was an inventor. That person invented a discovery of opiate receptor.,0
Louis Pasteur  was an inventor. That person invented a pasteurization.,1
John Ambrose Fleming  was an inventor. That person invented a vacuum tube diode.,1
Ralph H. Baer  was an inventor. That person invented a improved telescope.,0
Tim Berners-Lee  was an inventor. That person invented a air conditioning.,0
Reginald Fessenden  was an inventor. That person invented a amplitude modulation (AM) radio.,1
Sergey Brin and Larry Page  was an inventor. That person invented a steam engine improvements.,0
Yoshua Bengio  was an inventor. That person invented a gramophone.,0
Alexander Graham Bell  was an inventor. That person invented a molecular laser.,0
Mary Anderson  was an inventor. That person invented a modern chemical nomenclature.,0
Marie Curie  was an inventor. That person invented a co-discovery of HIV.,0
James Dyson  was an inventor. That person invented a standard time zones.,0
Wallace Carothers  was an inventor. That person invented a electromagnetic waves discovery.,0
Henry Ford  was an inventor. That person invented a windshield wiper.,0
John Shepherd-Barron  was an inventor. That person invented a ATM.,1
Herbert Akroyd Stuart  was an inventor. That person invented a hot bulb engine.,1
Joseph-Armand Bombardier  was an inventor. That person invented a snowmobile.,1
Charles Francis Jenkins  was an inventor. That person invented a motion picture projector.,1
Willis Carrier  was an inventor. That person invented a air conditioning.,1
John Logie Baird  was an inventor. That person invented a magnetic tape.,0
Cai Lun  was an inventor. That person invented a papermaking process.,1
Mary Walton  was an inventor. That person invented a linoleum.,0
George Pullman  was an inventor. That person invented a Geiger counter.,0
Carl Elsener  was an inventor. That person invented a fiber optics.,0
Elisha Gray  was an inventor. That person invented a telegraph printer.,1
Sergey Brin and Larry Page  was an inventor. That person invented a Google search engine.,1
John Atanasoff  was an inventor. That person invented a agricultural innovations.,0
James West  was an inventor. That person invented a early steam engine.,0
Arthur Pitney  was an inventor. That person invented a postage meter.,1
Elihu Thomson  was an inventor. That person invented a arc welding.,1
Alfred Nobel  was an inventor. That person invented a dynamite.,1
Sir Charles Parsons  was an inventor. That person invented a power loom.,0
Kwolek  was an inventor. That person invented a Kevlar.,1
James Watt  was an inventor. That person invented a high-pressure steam engine.,0
Florence Parpart  was an inventor. That person invented a phonograph (independent inventor).,0
James Clerk Maxwell  was an inventor. That person invented a electromagnetic field theory.,1
Felix Hoffmann  was an inventor. That person invented a electret microphone.,0
James Starley  was an inventor. That person invented a internet protocol suite.,0
Robert Adler  was an inventor. That person invented a Kevlar.,0
John Kay  was an inventor. That person invented a flying shuttle.,1
Nikola Tesla  was an inventor. That person invented a alternating current (AC) electrical system.,1
Evangelista Torricelli  was an inventor. That person invented a propeller-driven steamship.,0
William Sturgeon  was an inventor. That person invented a frameless parachute.,0
Benjamin Rubin  was an inventor. That person invented a Richter scale.,0
Charles Cros  was an inventor. That person invented a COBOL programming language.,0
Mary Phelps Jacob  was an inventor. That person invented a modern brassiere.,1
David Edward Hughes  was an inventor. That person invented a microphone (carbon).,1
Henry Bessemer  was an inventor. That person invented a xerography.,0
Blaise Pascal  was an inventor. That person invented a Porro prism.,0
Christopher Cockerell  was an inventor. That person invented a first electronic digital computer (prototype).,0
Charles Wheatstone  was an inventor. That person invented a Wheatstone bridge.,1
Jean-Bernard-LÃ©on Foucault  was an inventor. That person invented a discovery of opiate receptor.,0
Edwin Herbert Hall  was an inventor. That person invented a Hall effect.,1
Joseph Marie Jacquard  was an inventor. That person invented a Vaseline.,0
William Congreve  was an inventor. That person invented a early steam engine.,0
Garrett Morgan  was an inventor. That person invented a electric streetcar system.,0
Percy Spencer  was an inventor. That person invented a co-discovery of HIV.,0
Ami Argand  was an inventor. That person invented a hydraulic press.,0
Jack Kilby  was an inventor. That person invented a safety elevator.,0
Auguste and Louis LumiÃ¨re  was an inventor. That person invented a refracting telescope.,0
Edwin H. Land  was an inventor. That person invented a three-point seatbelt.,0
Cai Lun  was an inventor. That person invented a early incandescent light bulb.,0
Samuel Colt  was an inventor. That person invented a jet engine.,0
Philipp Reis  was an inventor. That person invented a early telephone prototype.,1
Emile Berliner  was an inventor. That person invented a electromagnetic relay.,0
Hans von Ohain  was an inventor. That person invented a electromagnet.,0
Laszlo Joseph Biro  was an inventor. That person invented a ballpoint pen.,1
William Congreve  was an inventor. That person invented a Congreve rocket.,1
Henri Giffard  was an inventor. That person invented a canning process.,0
Sir Isaac Newton  was an inventor. That person invented a Congreve rocket.,0
Richard Trevithick  was an inventor. That person invented a high-pressure steam engine.,1
Joseph Engelberger  was an inventor. That person invented a Vaseline.,0
Carl Sontheimer  was an inventor. That person invented a food processor.,1
Pierre Curie  was an inventor. That person invented a piezoelectricity.,1
Nikola Tesla  was an inventor. That person invented a electrothermal hydrazine thruster.,0
William Sturgeon  was an inventor. That person invented a electromagnet.,1
August Horch  was an inventor. That person invented a Audi automobile.,1
George Antheil  was an inventor. That person invented a electric traffic light.,0
Vint Cerf  was an inventor. That person invented a pantelegraph (image transmission).,0
Ada Lovelace  was an inventor. That person invented a programming language (theoretical).,1
Paul Gottlieb Nipkow  was an inventor. That person invented a Nipkow disk (mechanical television).,1
Guglielmo Marconi  was an inventor. That person invented a zipper.,0
Fridtjof Nansen  was an inventor. That person invented a modern polar exploration.,1
David Schwarz  was an inventor. That person invented a rigid airship.,1
Ada Lovelace  was an inventor. That person invented a shielded metal arc welding.,0
Lester Wire  was an inventor. That person invented a electric traffic light.,1
Philipp Reis  was an inventor. That person invented a penicillin discovery.,0
Yvonne Brill  was an inventor. That person invented a nylon.,0
Ralph Benjamin  was an inventor. That person invented a first electronic digital computer (prototype).,0
Luther George Simjian  was an inventor. That person invented a high-pressure steam engine.,0
Dr. Robert Gallo  was an inventor. That person invented a flash freezing.,0
Marvin Camras  was an inventor. That person invented a magnetic recording.,1
Christian Huygens  was an inventor. That person invented a Wheatstone bridge.,0
Andr-Jacques Garnerin  was an inventor. That person invented a frameless parachute.,1
Karl Benz  was an inventor. That person invented a co-discovery of multiple elements.,0
Yoshua Bengio  was an inventor. That person invented a deep learning (artificial neural networks).,1
Walter Hunt  was an inventor. That person invented a jet engine.,0
Ferdinand CarrÃ©  was an inventor. That person invented a refrigeration (absorption process).,1
Nikolai Basov  was an inventor. That person invented a mechanical calculator.,0
Heinrich Hertz  was an inventor. That person invented a electromagnetic waves discovery.,1
James Starley  was an inventor. That person invented a bicycle improvements (tangential spokes.,1
Yoshiro Nakamatsu  was an inventor. That person invented a floppy disk.,1
John Ericsson  was an inventor. That person invented a propeller-driven steamship.,1
BirutÃ© Galdikas  was an inventor. That person invented a DNA fingerprinting.,0
Michael Faraday  was an inventor. That person invented a electric generator.,1
Fridtjof Nansen  was an inventor. That person invented a flash freezing.,0
John Bardeen  was an inventor. That person invented a transistor.,1
Nikolay Slavyanov  was an inventor. That person invented a noise reduction system for elevated railways.,0
Gordon Gould  was an inventor. That person invented a laser.,1
Richard Gatling  was an inventor. That person invented a typewriter.,0
John T. Parsons  was an inventor. That person invented a floppy disk.,0
Charles Fritts  was an inventor. That person invented a blue jeans.,0
Clarence Birdseye  was an inventor. That person invented a flash freezing.,1
Benjamin Franklin  was an inventor. That person invented a lightning rod.,1
Joseph Swan  was an inventor. That person invented a discovery of opiate receptor.,0
Daisuke Inoue  was an inventor. That person invented a safety elevator.,0
Charles Macintosh  was an inventor. That person invented a assembly line production.,0
Albert Ghiorso  was an inventor. That person invented a stored-program computer architecture.,0
John Walker  was an inventor. That person invented a solar cell.,0
Richard Trevithick  was an inventor. That person invented a early incandescent light bulb.,0
Felix Hoffmann  was an inventor. That person invented a aspirin synthesis.,1
Frederick G. Creed  was an inventor. That person invented a pneumatic bicycle tire.,0
Arthur Fry  was an inventor. That person invented a Post-it notes.,1
Charles Francis Jenkins  was an inventor. That person invented a telephone.,0
Charles Tellier  was an inventor. That person invented a electromagnetic field theory.,0
George de Mestral  was an inventor. That person invented a velcro.,1
Robert Moog  was an inventor. That person invented a orangutan conservation.,0
Hans Lippershey  was an inventor. That person invented a refracting telescope.,1
Hans Oersted  was an inventor. That person invented a electromagnetism discovery.,1
Thomas Edison  was an inventor. That person invented a light bulb.,1
Tim Berners-Lee  was an inventor. That person invented a World Wide Web.,1
George Eastman  was an inventor. That person invented a tank.,0
Samuel Morse  was an inventor. That person invented a Morse code.,1
Fritz Pfleumer  was an inventor. That person invented a magnetic tape.,1
Josephine Cochrane  was an inventor. That person invented a electronic television.,0
Elisha Otis  was an inventor. That person invented a safety elevator.,1
Ruth Benerito  was an inventor. That person invented a Foucault pendulum.,0
Edouard Benedictus  was an inventor. That person invented a safety glass.,1
Hippolyte MÃ¨ge-MouriÃ¨s  was an inventor. That person invented a margarine.,1
James West  was an inventor. That person invented a electret microphone.,1
Samuel Colt  was an inventor. That person invented a revolver.,1
Daniel Fahrenheit  was an inventor. That person invented a mercury-in-glass thermometer.,1
Hans Geiger  was an inventor. That person invented a revolver.,0
Spencer Silver  was an inventor. That person invented a adhesive (used in Post-it notes).,1
Charles Goodyear  was an inventor. That person invented a vulcanized rubber.,1
Samuel Morse  was an inventor. That person invented a papermaking process.,0
John Kay  was an inventor. That person invented a stored-program computer architecture.,0
Thomas Tompion  was an inventor. That person invented a improved telescope.,0
Bette Nesmith Graham  was an inventor. That person invented a pneumatic bicycle tire.,0
John von Neumann  was an inventor. That person invented a reflecting telescope.,0
Heinrich GÃ¶bel  was an inventor. That person invented a early incandescent light bulb.,1
Carl Elsener  was an inventor. That person invented a Swiss Army knife.,1
Luther George Simjian  was an inventor. That person invented a Automated Teller Machine (ATM).,1
Carl Wilhelm Siemens  was an inventor. That person invented a electric streetcar system.,0
George Antheil  was an inventor. That person invented a piano roll (used in player pianos).,1
Sir Humphry Davy  was an inventor. That person invented a flash freezing.,0
Alfred Nobel  was an inventor. That person invented a electrocardiograph (ECG).,0
Ruth Handler  was an inventor. That person invented a Barbie doll.,1
Semyon Kirlian  was an inventor. That person invented a canning process.,0
Fritz Pfleumer  was an inventor. That person invented a mechanical calculator.,0
Frederick Walton  was an inventor. That person invented a linoleum.,1
Nikolai Basov  was an inventor. That person invented a molecular laser.,1
Semyon Kirlian  was an inventor. That person invented a Kirlian photography.,1
Edmund Cartwright  was an inventor. That person invented a standard time zones.,0
Josephine Cochrane  was an inventor. That person invented a automatic dishwasher.,1
Yvonne Brill  was an inventor. That person invented a electrothermal hydrazine thruster.,1
Grace Hopper  was an inventor. That person invented a COBOL programming language.,1
Elihu Thomson  was an inventor. That person invented a traffic signal.,0
Leonardo da Vinci  was an inventor. That person invented a various inventions and concepts (theoretical).,1
Jack Kilby  was an inventor. That person invented a integrated circuit.,1
Wilhelm Conrad RÃ¶ntgen  was an inventor. That person invented a X-rays discovery.,1
Edouard Benedictus  was an inventor. That person invented a Kirlian photography.,0
Carlos Glidden  was an inventor. That person invented a typewriter.,1
Carl Wilhelm Siemens  was an inventor. That person invented a Siemens regenerative furnace.,1
Sir Sandford Fleming  was an inventor. That person invented a liquefied gas refrigeration.,0
BirutÃ© Galdikas  was an inventor. That person invented a orangutan conservation.,1
Galileo Galilei  was an inventor. That person invented a programming language (theoretical).,0
Thomas Wedgwood  was an inventor. That person invented a photogram (proto-photography).,1
Edwin H. Land  was an inventor. That person invented a instant photography (Polaroid).,1
John Harrison  was an inventor. That person invented a marine chronometer.,1
Zhores Alferov  was an inventor. That person invented a typewriter.,0
Frank Bunker Gilbreth  was an inventor. That person invented a Morse code.,0
George Washington Carver  was an inventor. That person invented a caterpillar track.,0
Michael Faraday  was an inventor. That person invented a electrocardiograph (ECG).,0
Thomas Tompion  was an inventor. That person invented a cylinder escapement (clockmaking).,1
Levi Strauss  was an inventor. That person invented a blue jeans.,1
John Gorrie  was an inventor. That person invented a electromagnetic waves discovery.,0
Nikolay Slavyanov  was an inventor. That person invented a shielded metal arc welding.,1
Gordon Gould  was an inventor. That person invented a early telephone prototype.,0
Alan Turing  was an inventor. That person invented a Turing machine (theoretical).,1
Charles Fritts  was an inventor. That person invented a solar cell.,1
Joseph Swan  was an inventor. That person invented a carbon-filament lamp.,1
Karl Landsteiner  was an inventor. That person invented a blood types.,1
Earle Dickson  was an inventor. That person invented a ATM.,0
John Atanasoff  was an inventor. That person invented a first electronic digital computer (prototype).,1
Samuel Fox  was an inventor. That person invented a steel ribbed umbrella.,1
George de Mestral  was an inventor. That person invented a refrigeration (absorption process).,0
Frederick McKinley Jones  was an inventor. That person invented a pneumatic bicycle tire.,0
Thomas Savery  was an inventor. That person invented a early steam engine.,1
Johannes Gutenberg  was an inventor. That person invented a mercury-in-glass thermometer.,0
Candace Pert  was an inventor. That person invented a discovery of opiate receptor.,1
Alexander Fleming  was an inventor. That person invented a Saffir-Simpson Hurricane Scale.,0
Mary Anderson  was an inventor. That person invented a windshield wiper.,1
Thomas Edison  was an inventor. That person invented a refracting telescope.,0
John Callcott Horsley  was an inventor. That person invented a vulcanized rubber.,0
Charles Tellier  was an inventor. That person invented a liquefied gas refrigeration.,1
Ernest Swinton  was an inventor. That person invented a shielded metal arc welding.,0
Antoine Lavoisier  was an inventor. That person invented a vacuum tube diode.,0
Florence Parpart  was an inventor. That person invented a modern electric refrigerator.,1
Sir Sandford Fleming  was an inventor. That person invented a standard time zones.,1
Louis Pasteur  was an inventor. That person invented a air conditioning.,0
Luther Simjian  was an inventor. That person invented a postage meter.,0
Eli Whitney  was an inventor. That person invented a photogram (proto-photography).,0
Lloyd Groff Copeman  was an inventor. That person invented a electric stove.,1
Georges Claude  was an inventor. That person invented a electromagnetism discovery.,0
Charles Townes  was an inventor. That person invented a portable vacuum cleaner.,0
John Harrison  was an inventor. That person invented a automatic dishwasher.,0
Eli Whitney  was an inventor. That person invented a cotton gin.,1
William Kelly  was an inventor. That person invented a Bessemer process for steelmaking.,1
George Cayley  was an inventor. That person invented a shielded metal arc welding.,0
John T. Parsons  was an inventor. That person invented a numerical control (CNC).,1
George Washington Carver  was an inventor. That person invented a agricultural innovations.,1
Richard Leach Maddox  was an inventor. That person invented a xerography.,0
Sir Charles Parsons  was an inventor. That person invented a steam turbine.,1
Thomas Wedgwood  was an inventor. That person invented a pneumatic bicycle tire.,0
Rudolf KÃ¡lmÃ¡n  was an inventor. That person invented a dynamite.,0
Igor Sikorsky  was an inventor. That person invented a practical helicopter.,1
Otis Boykin  was an inventor. That person invented a electric stove.,0
Herbert Akroyd Stuart  was an inventor. That person invented a Google search engine.,0
Evangelista Torricelli  was an inventor. That person invented a barometer.,1
Daisuke Inoue  was an inventor. That person invented a karaoke machine.,1
Alec Jeffreys  was an inventor. That person invented a modern electric refrigerator.,0
Leonardo da Vinci  was an inventor. That person invented a aerodynamics (theoretical).,0
Archimedes  was an inventor. That person invented a Archimedes' screw.,1
Hans Goldschmidt  was an inventor. That person invented a thermite process.,1
Spencer Silver  was an inventor. That person invented a integrated circuit.,0
Hans Berger  was an inventor. That person invented a transistor.,0
Auguste and Louis LumiÃ¨re  was an inventor. That person invented a cinematograph.,1
Frederick McKinley Jones  was an inventor. That person invented a refrigeration unit for trucks.,1
Frank Julian Sprague  was an inventor. That person invented a Saffir-Simpson Hurricane Scale.,0
Kwolek  was an inventor. That person invented a compression refrigeration.,0
Giovanni Caselli  was an inventor. That person invented a mechanical television.,0
George Devol  was an inventor. That person invented a early steam engine.,0
Maria Telkes  was an inventor. That person invented a solar thermal storage system.,1
Charles Goodyear  was an inventor. That person invented a mercury-in-glass thermometer.,0
Konrad Zuse  was an inventor. That person invented a trackball.,0
Edwin Link  was an inventor. That person invented a instant photography (Polaroid).,0
Charles Francis Richter  was an inventor. That person invented a deep learning (artificial neural networks).,0
Philo Farnsworth  was an inventor. That person invented a electronic television.,1
Joseph Glidden  was an inventor. That person invented a barbed wire.,1
Frederick G. Creed  was an inventor. That person invented a teleprinter.,1
Samuel Fox  was an inventor. That person invented a ultrasonic remote control.,0
Willem Einthoven  was an inventor. That person invented a reflecting telescope.,0
Yoshiro Nakamatsu  was an inventor. That person invented a frequency hopping spread spectrum.,0
John Wesley Hyatt  was an inventor. That person invented a light bulb.,0
John Shepherd-Barron  was an inventor. That person invented a transistor.,0
Joseph Glidden  was an inventor. That person invented a gramophone.,0
Pierre Curie  was an inventor. That person invented a mechanical refrigeration (ice-making machine).,0
James Dyson  was an inventor. That person invented a bagless vacuum cleaner.,1
Benjamin Rubin  was an inventor. That person invented a vaccine jet injector.,1
Henry Bessemer  was an inventor. That person invented a Bessemer process for steelmaking.,1
Joseph-Armand Bombardier  was an inventor. That person invented a canning process.,0
Alan Turing  was an inventor. That person invented a floppy disk.,0
Mary Walton  was an inventor. That person invented a noise reduction system for elevated railways.,1
Percy Spencer  was an inventor. That person invented a microwave oven.,1
Joseph Aspdin  was an inventor. That person invented a hydraulic press.,0
Charles Macintosh  was an inventor. That person invented a waterproof fabric.,1
Mary Phelps Jacob  was an inventor. That person invented a light bulb.,0
John Wesley Hyatt  was an inventor. That person invented a celluloid.,1
Charles Francis Richter  was an inventor. That person invented a Richter scale.,1
Arthur Fry  was an inventor. That person invented a steam engine improvements.,0
Nicolas Appert  was an inventor. That person invented a shielded metal arc welding.,0
Orville and Wilbur Wright  was an inventor. That person invented a airplane.,1
David Edward Hughes  was an inventor. That person invented a ultrasonic remote control.,0
Narinder Singh Kapany  was an inventor. That person invented a caterpillar track.,0
Charles Babbage  was an inventor. That person invented a steam turbine.,0
Paul Gottlieb Nipkow  was an inventor. That person invented a Phonautograph.,0
Chester Carlson  was an inventor. That person invented a xerography.,1
Alva J. Fisher  was an inventor. That person invented a electric washing machine.,1
Gideon Sundback  was an inventor. That person invented a zipper.,1
