statement,label_1,label_2,label_3,token_1,token_2,token_3
The gazelle has the atomic number of bird. The aardvark is a mammal. The moose has a diet of herbivore.,0,1,1,8,17,26
"The rhinoceros has a diet of herbivore. The dog has permeable skin that can absorb water and respire oxygen, and changes color to blend with its environment. The cow has a habitat of farmland.",1,0,1,8,31,39
"The polar bear has the atomic number of reptile. The manta ray has a diet of herbivore. Human uses for snake include transportation, racing, therapy, work.",0,0,0,8,19,32
The tapir has a habitat of desert. The tiger is a mammal. The deer has a habitat of forest/grassland.,0,1,1,7,13,24
"The gorilla is the largest primate and exhibits complex social behavior. The porcupine has a strong, foul-smelling spray for defense, which can be accurately aimed at predators. The tarantula has long legs for wading and a specialized beak for filter-feeding, and obtains its pink color from the carotenoids in its diet.",1,0,0,10,34,65
The beaver has the atomic number of bird. The dolphin has a diet of carnivore. The giant anteater has a diet of insectivore.,0,1,1,7,16,16
"The frog has the atomic number of bird. The whale uses swimming for locomotion. Human uses for bison include meat, dairy products.",0,1,0,7,14,24
The ostrich has a habitat of grassland. The sea turtle is a reptile. The walrus has a habitat of polar.,1,1,1,8,15,24
The cat isn't very social but is adored by many humans and has retractable claws for climbing and hunting. The penguin is flightless and has adapted flippers for swimming. The camel has the atomic number of fish.,1,1,0,21,34,43
The panda has a diet of herbivore. The leopard uses swimming for locomotion. The alpaca uses flying for locomotion.,1,0,0,7,14,14
The cassowary has a diet of omnivore. There are no specific human uses for walrus. The cow has a diet of carnivore.,1,0,0,9,19,28
"The skunk has thick, luxurious wool and is a smaller relative of the llama. Human uses for zebra include pets, meat, fur. The sea turtle has thick skin and one or two horns made of keratin, and is often targeted by poachers for its horn.",0,0,0,17,28,54
The aardvark has distinctive orange and black stripes and is an apex predator. The hippopotamus uses swimming for locomotion. The peacock has a habitat of domestic/urban.,0,0,0,15,24,35
The skunk has a diet of omnivore. The deer has the atomic number of bird. The armadillo uses swimming for locomotion.,1,0,0,8,17,26
"The manta ray has large, wing-like pectoral fins and filter-feeds on plankton with its wide mouth. The alpaca uses walking for locomotion. Human uses for dog include pets, service animals, herding, hunting, therapy.",1,1,1,23,32,49
"The polar bear has a diet of carnivore. The crocodile uses swimming for locomotion. Human uses for polar bear include conservation, research.",1,0,1,8,15,25
"The koala has a habitat of forest. The ostrich uses running for locomotion. The leopard has a distinctive spotted coat and is an excellent climber, often hauling prey into trees.",1,1,1,7,16,37
"There are no specific human uses for slug. The gazelle has large, wing-like pectoral fins and filter-feeds on plankton with its wide mouth. The goat has a diet of carnivore.",1,0,0,7,31,40
"The porcupine uses walking for locomotion. The llama has a diet of omnivore. The sparrow is a small, social bird that can be found in many urban environments.",1,0,1,7,18,35
The eagle is highly intelligent and known for its playful and social behavior. The sea turtle has a diet of carnivore. The cat has a diet of omnivore.,0,0,0,12,22,22
"The mongoose has a diet of insectivore. The hippopotamus is a mammal. The tiger is a strong and fierce predator, despite its relatively small size, and has a thick, frost-resistant fur.",0,1,0,9,17,42
"The giraffe is known for its bright colors, intelligence, and ability to mimic human speech. The manta ray uses wading for locomotion. The chimpanzee has a diet of carnivore.",0,0,0,16,26,35
"Human uses for mongoose include tourism, zoos. The bat is a mammal. The rat has a habitat of various.",0,1,0,9,15,23
There are no specific human uses for raccoon. The sparrow has a habitat of farmland/urban. The llama has thick wool for insulation and can spit when threatened or annoyed.,1,0,1,8,18,35
The gecko has adhesive pads on its toes for climbing and some species can regenerate lost tails. The mongoose has a habitat of various. There are no specific human uses for otter.,1,1,0,17,27,37
The chimpanzee has the atomic number of bird. The chimpanzee has a habitat of forest. There are no specific human uses for koala.,0,1,0,7,15,25
"The mongoose is a mammal. Human uses for hyena include pets, research, venom extraction. The iguana has a diet of herbivore.",1,0,1,6,19,29
"Human uses for penguin include pets, research, conservation. The manta ray has a habitat of marine. There are no specific human uses for rat.",0,1,0,9,19,28
"The vulture has a thick, water-resistant fur and uses tools to crack open shellfish. The tuna uses swimming for locomotion. The lion has a habitat of grassland.",0,1,1,17,24,32
The shark has a habitat of grassland. The rhinoceros has a habitat of forest. The vulture has the atomic number of mammal.,0,0,0,6,15,25
The raccoon is a mammal. The snake has a habitat of terrestrial. The leopard is a mammal.,1,1,1,5,13,19
"The raccoon has dexterous front paws and a distinctive black mask on its face. Human uses for slug include pets, research, conservation. The penguin uses walking for locomotion.",1,0,0,15,26,33
"Human uses for elephant include pets, ornamental displays. The skunk uses running for locomotion. The cow has the atomic number of amphibian.",0,0,0,8,16,25
"The hyena has a diet of nectar. Human uses for goldfish include pets, ornamental ponds. The bee has a diet of nectar.",0,1,1,7,17,25
The hamster has a strong sense of smell and is known for its loyalty to humans. The slug has a diet of herbivore. The chicken has a comb and wattles on its head for thermoregulation.,0,1,1,16,25,42
"The beaver has thick, luxurious wool and is a smaller relative of the llama. The tarantula has the atomic number of bird. The shark is a fish.",0,0,1,16,27,33
"Human uses for giraffe include tourism, zoos. The sparrow is a monotreme that lays eggs and has a duck-like bill with electroreceptors to locate prey. The hamster has the atomic number of bird.",1,0,0,7,31,41
The snake is a reptile. The parrot has the atomic number of mammal. The swan has a habitat of terrestrial.,1,0,0,4,13,22
"The gazelle has slender legs for fast running and can perform high leaps, known as pronking. The horse uses climbing for locomotion. The gecko has a habitat of various.",1,0,1,18,25,34
The pigeon uses flying for locomotion. The goldfish uses walking for locomotion. The armadillo has a diet of insectivore.,1,0,1,5,5,23
The jellyfish uses walking for locomotion. The squirrel uses walking/jumping for locomotion. The gecko has a habitat of savanna.,0,1,0,5,5,24
"The iguana has a long, whip-like tail for defense and can change color to regulate body temperature. The deer has a diet of insectivore. The goldfish uses swimming for locomotion.",1,0,1,20,29,36
The tiger uses slithering for locomotion. The wolverine is a mammal. The bee has a habitat of farmland.,0,1,0,7,15,23
The snake can unhinge its jaw to swallow large prey whole and some species have heat-sensing pits. The otter is a mammal. The goat has a diet of herbivore.,1,1,1,21,28,37
"The horse has a diet of carnivore. Human uses for squirrel include pest control. Human uses for frog include pets, research.",0,0,0,7,15,24
"Human uses for goldfish include tourism, research, conservation. The rhinoceros has thick skin and one or two horns made of keratin, and is often targeted by poachers for its horn. The manta ray uses swimming for locomotion.",0,1,1,9,35,44
The penguin has a habitat of grassland/savanna. The llama uses walking for locomotion. The hyena uses flying for locomotion.,0,1,0,9,18,18
The elephant has the atomic number of fish. The tuna has a diet of omnivore. The rat has a habitat of urban/wild.,0,0,1,7,16,26
There are no specific human uses for gazelle. The skunk has a diet of herbivore. The koala has a diet of herbivore.,1,0,1,8,18,18
The hamster is a mammal. The lobster has the atomic number of mammal. There are no specific human uses for wolverine.,1,0,1,5,5,25
"Human uses for tiger include conservation, research, zoos. The narwhal has a habitat of arctic. The tuna has a diet of carnivore.",1,1,1,9,19,28
"The hummingbird uses walking for locomotion. The whale is a mammal. Human uses for zebra include tourism, zoos.",0,1,1,6,12,21
"The penguin has a diet of carnivore. The bee is a insect. The seahorse has a unique upright posture, prehensile tail for grasping, and the male carries fertilized eggs in a brood pouch.",1,1,1,7,13,41
"Human uses for cow include research, conservation. The flamingo has a diet of herbivore. The pigeon has a long, graceful neck and is known for its beauty and aggressive behavior when defending its territory.",0,1,0,7,17,39
The eagle is a powerful bird of prey with keen eyesight and strong talons for catching prey. The swan is a bird. The cat has a diet of carnivore.,1,1,1,7,24,33
"The beaver has a diet of insectivore. The slug has a habitat of coastal. Human uses for narwhal include research, conservation.",0,0,1,7,15,26
"The walrus has the atomic number of bird. The shark has a habitat of marine. Human uses for dog include research, conservation.",0,1,0,8,16,25
"Human uses for lobster include conservation, research, zoos. The rabbit has long ears for detecting predators and strong hind legs for escaping. The hippopotamus uses walking/swimming for locomotion.",0,1,1,9,24,36
The pigeon has a diet of carnivore. The chicken has a diet of carnivore. The vulture has a habitat of various.,0,0,1,7,7,25
The bat has a habitat of various. The tarantula has a habitat of freshwater. The lobster uses flying for locomotion.,1,0,0,6,16,23
The pigeon has the atomic number of mammal. The sea turtle has the atomic number of mammal. The bat has a diet of varies.,0,0,1,7,7,25
"The axolotl has a long, sticky tongue for capturing ants and termites, and a keen sense of smell to locate prey. The leopard has a habitat of various. Human uses for flamingo include pets, research.",0,0,0,25,33,43
The moose uses swimming for locomotion. The kangaroo has webbed feet for swimming and can drink both fresh and saltwater. The shark has a diet of carnivore.,0,0,1,5,21,30
"Human uses for hamster include conservation, research, zoos. The peacock is a ruminant animal with four stomach compartments, which aids in digestion. The salmon is a fish.",0,0,1,10,28,34
"The swan uses swimming/flying for locomotion. The bee can jump long distances and has a bushy tail for balance. The penguin has large, wing-like pectoral fins and filter-feeds on plankton with its wide mouth.",1,0,0,8,23,46
"The swan uses walking for locomotion. The mongoose is known for its agility and ability to kill venomous snakes, and has a thick coat to protect against bites. The raccoon has thick, luxurious wool and is a smaller relative of the llama.",0,1,0,6,32,51
"The giraffe has an extremely long neck, which enables it to reach leaves on tall trees. The squirrel has a habitat of forest/urban. The dolphin is highly intelligent and known for its playful and social behavior.",1,1,1,16,26,40
"Human uses for alpaca include wool, meat, pets. The cassowary has a diet of herbivore. The salmon has the atomic number of mammal.",1,0,0,11,22,31
"The manta ray has a habitat of grassland. The goat is known for its agility and can climb steep terrain, and has a rectangular pupil. The rhinoceros is a mammal.",0,1,1,8,27,34
The tuna has a habitat of marine. The swan has the atomic number of mammal. The zebra has thick wool for insulation and can spit when threatened or annoyed.,1,0,0,6,16,31
The raccoon has a diet of carnivore. The cat uses walking for locomotion. The ostrich has the atomic number of mammal.,0,1,0,8,15,26
"The seagull has a diet of carnivore. The deer is the largest animal on earth, with some species using baleen plates to filter food from water. The flamingo uses wading for locomotion.",0,0,1,8,31,40
The camel is a mammal. The beaver has a habitat of forest. The frog has a habitat of grassland.,1,0,0,4,12,20
The hyena is a mammal. There are no specific human uses for hyena. The platypus has a habitat of freshwater.,1,1,1,5,15,25
There are no specific human uses for eagle. The sparrow has a habitat of urban/wild. The frog uses swimming/flying for locomotion.,0,1,0,7,17,26
"The cat has a habitat of domestic/urban. Human uses for crocodile include conservation, research, zoos. The otter has the atomic number of fish.",1,0,0,8,19,29
The tuna has a habitat of freshwater. The bison uses walking/swimming for locomotion. The tarantula uses flying for locomotion.,0,0,0,6,16,16
The lion is the only mammal capable of sustained flight and uses echolocation to navigate. The alpaca has a habitat of various. The giant anteater has the atomic number of amphibian.,0,0,0,16,26,37
The panda has the atomic number of bird. The deer uses walking for locomotion. The frog is a amphibian.,0,1,1,7,14,20
"The crocodile has a habitat of freshwater. The otter has a diet of herbivore. Human uses for polar bear include pets, research.",1,0,0,6,16,26
The rabbit has the atomic number of arachnid. The beaver uses climbing for locomotion. The octopus has the atomic number of mammal.,0,0,0,9,16,25
There are no specific human uses for hippopotamus. The parrot has a habitat of marine. The bat has a habitat of grassland/forest.,1,0,0,9,17,27
"The octopus has long tusks for fighting and digging, and thick blubber for insulation in cold water. The horse has strong hind legs for powerful jumps and kicks. The deer is a mammal.",0,1,1,20,32,38
"Human uses for iguana include pets, research. The bison has the atomic number of bird. The flamingo has long legs for wading and a specialized beak for filter-feeding, and obtains its pink color from the carotenoids in its diet.",1,0,1,8,17,47
"The rat has a diet of carnivore. The axolotl uses walking for locomotion. The flamingo is a large, hairy spider with venomous fangs and can flick irritating hairs from its abdomen when threatened.",0,0,0,7,17,41
"The parrot has a diet of omnivore. The horse uses walking for locomotion. Human uses for koala include conservation, research, zoos.",1,1,1,7,14,26
The octopus has a habitat of forest/urban. The armadillo uses walking for locomotion. The giraffe uses walking for locomotion.,0,1,1,8,17,17
The snake has a habitat of freshwater/marine. The lobster has a diet of insectivore. The wolverine has the atomic number of reptile.,0,0,0,8,17,28
"The frog has permeable skin that can absorb water and respire oxygen, and changes color to blend with its environment. The dolphin has a diet of herbivore. The cow is a ruminant animal with four stomach compartments, which aids in digestion.",1,0,1,21,30,47
"The gecko uses walking for locomotion. Human uses for rat include pets, research, pest control. The wolverine migrates from freshwater to saltwater habitats during its life cycle.",0,1,0,6,18,34
The salmon has a diet of carnivore. The salmon has a diet of herbivore. The snake has a long tail for balance and is an excellent climber and swimmer.,1,0,0,7,7,33
"Human uses for cat include pollination, honey production. The seahorse has a diet of herbivore. The sea turtle has a diet of varies.",0,0,1,8,19,28
The panda uses walking for locomotion. The flamingo uses swimming for locomotion. The iguana uses walking/swimming for locomotion.,1,0,0,5,5,13
"Human uses for goat include meat, milk, cheese, leather. The kangaroo is a mammal. The cassowary is highly intelligent and known for its playful and social behavior.",1,1,0,11,17,33
The giant anteater uses walking for locomotion. The cheetah has the atomic number of mollusk. The aardvark uses sliding for locomotion.,1,0,0,7,18,28
"The pigeon uses climbing for locomotion. The panda has a habitat of mountain bamboo forest. The elephant has large, wing-like pectoral fins and filter-feeds on plankton with its wide mouth.",0,1,0,5,15,38
"The shark has the atomic number of bird. Human uses for seagull include conservation, research, zoos. The gorilla uses walking for locomotion.",0,0,0,7,19,26
"Human uses for beaver include research, entertainment, therapy. The platypus has a habitat of savanna. The lion is a mammal.",0,0,1,9,19,25
"The whale is the largest animal on earth, with some species using baleen plates to filter food from water. The wolverine is a strong and fierce predator, despite its relatively small size, and has a thick, frost-resistant fur. The cow has a diet of herbivore.",1,1,1,21,48,57
The hummingbird has a habitat of various. The peacock has a habitat of forest/grassland. The cassowary is a bird.,1,1,1,7,19,27
The eagle uses swimming/flying for locomotion. The beaver is a mammal. The parrot uses walking for locomotion.,0,1,0,7,13,20
"The bison has a diet of herbivore. The elephant has a long trunk used for grasping, eating, drinking, and communication. The gecko has a diet of carnivore.",1,1,0,7,24,34
"Human uses for cow include meat, dairy products. The hamster has a habitat of desert. The crocodile is a reptile.",1,1,1,8,17,23
"Human uses for eagle include conservation, research. The rhinoceros has the atomic number of bird. The skunk has the atomic number of fish.",1,0,0,7,17,27
The flamingo has a diet of carnivore. The eagle has a diet of carnivore. The seagull is a bird.,0,1,1,8,8,24
"The skunk has a habitat of various. Human uses for axolotl include pets, zoos. Human uses for panda include conservation, research, zoos.",1,0,1,7,19,19
The aardvark has the atomic number of mollusk. The goat has a habitat of farmland. The armadillo has a habitat of forest.,0,1,0,11,19,29
The chimpanzee has a strong homing instinct and has been used for communication and racing. The platypus is a mammal. Human uses for tuna include food.,0,1,1,15,23,30
The cheetah has a habitat of grassland. The seahorse uses swimming for locomotion. The moose has a habitat of various.,1,1,0,7,16,24
The wolverine uses walking for locomotion. The giraffe has a diet of herbivore. The vulture has a habitat of forest/grassland.,1,1,0,7,16,28
"Human uses for shark include pets, transport, wool. The cow has a habitat of coastal. There are no specific human uses for moose.",0,0,1,9,17,26
The goldfish is a fish. The peacock uses walking for locomotion. The tortoise is a reptile.,1,1,1,4,12,18
The squirrel is a mammal. The tarantula has a diet of herbivore. The tortoise uses knuckle-walking for locomotion.,1,0,0,4,15,25
"The gecko has a diet of insectivore. The rabbit has a diet of herbivore. Human uses for bee include pollination, honey production.",1,1,1,8,8,27
"The rabbit uses walking for locomotion. The koala has a habitat of marine. The seagull has thick skin and one or two horns made of keratin, and is often targeted by poachers for its horn.",0,0,0,5,14,40
"The camel has a gelatinous bell and stinging tentacles to capture prey, and some species are bioluminescent. The sparrow has a diet of omnivore. Human uses for snake include pets, research, venom extraction.",0,1,1,20,29,41
The snake uses walking for locomotion. The kangaroo has a diet of herbivore. The chicken uses walking for locomotion.,0,1,1,5,14,21
"The hamster uses walking/swimming for locomotion. The cat uses climbing for locomotion. Human uses for tortoise include pets, pest control.",0,0,0,9,9,26
The salmon migrates from freshwater to saltwater habitats during its life cycle. The koala primarily eats eucalyptus leaves and has a specialized digestive system to detoxify the plant's natural toxins. The hedgehog has a diet of insectivore.,1,1,1,12,34,44
"The kangaroo has a pouch for carrying and nursing its young, called joeys. The beaver has a diet of herbivore. The peacock has a diet of omnivore.",1,1,1,15,24,24
"The seagull has a habitat of mountain. The giraffe has a diet of omnivore. Human uses for chicken include meat, eggs.",0,0,1,7,16,25
The armadillo is a mammal. The rhinoceros uses walking for locomotion. The raccoon has a habitat of forest/urban.,1,1,1,6,14,25
The hedgehog is a mammal. The mongoose has the atomic number of reptile. The ostrich uses swimming for locomotion.,1,0,0,5,16,25
"Human uses for elephant include work, tourism, conservation. The tarantula is a arachnid. The parrot is a bird.",1,1,1,9,19,25
"The otter uses swimming for locomotion. The hippopotamus has a diet of varies. Human uses for peacock include pets, research, pest control.",1,0,0,6,16,29
"Human uses for camel include research, conservation. The seagull has webbed feet for swimming and can drink both fresh and saltwater. There are no specific human uses for tiger.",0,1,0,7,24,33
The porcupine uses walking/swimming for locomotion. The sparrow has the atomic number of mammal. The bat uses flying for locomotion.,0,0,1,10,19,26
"The lobster uses walking/swimming for locomotion. The sea turtle has a hard shell for protection and can live for over 100 years, returning to the same nesting beaches to lay eggs. The tapir has a flexible, prehensile snout to grasp and manipulate food, and is an important seed disperser.",1,1,1,8,38,63
The leopard has a long tail for balance and is an excellent climber and swimmer. The walrus is a mammal. The koala uses walking for locomotion.,0,1,1,15,22,30
"Human uses for lion include conservation, research, zoos. The bat uses swimming for locomotion. The tortoise has a habitat of coastal.",1,0,0,9,16,24
"The squirrel has the atomic number of fish. Human uses for chimpanzee include research, conservation, entertainment. The otter has a long, spiral tusk, which is actually an elongated tooth, and can dive to great depths.",0,1,0,7,18,43
"Human uses for hamster include pets, research. The zebra has distinctive black and white stripes, which may help deter flies and provide camouflage. The manta ray lacks a shell and secretes a slimy mucus for protection and locomotion.",1,1,0,8,26,45
The axolotl has a habitat of marine. The leopard uses walking for locomotion. The lion is known as the 'king of the jungle' and exhibits complex social behavior with a pride structure.,0,1,1,9,16,38
The hummingbird has the atomic number of mammal. The chicken is a bird. The crocodile has a diet of carnivore/herbivore.,0,1,0,8,14,23
"Human uses for sea turtle include research, conservation. The giraffe has a habitat of domestic/urban. There are no specific human uses for deer.",1,0,1,8,18,27
"The chicken has a hard, bony armor for protection and can curl into a ball to defend itself. The cow is a mammal. Human uses for kangaroo include tourism, zoos, meat.",0,1,1,18,24,35
The alpaca is a mammal. The lion has a diet of herbivore. The chimpanzee uses walking for locomotion.,1,0,1,6,15,22
"Human uses for hedgehog include pets, pest control. Human uses for leopard include tourism, research. The armadillo has the atomic number of reptile.",1,0,0,9,18,29
"There are no specific human uses for squirrel. Human uses for bison include conservation, meat, leather. The parrot is known for its bright colors, intelligence, and ability to mimic human speech.",1,1,1,7,18,36
"The otter has a thick, water-resistant fur and uses tools to crack open shellfish. The lobster has a habitat of marine. The lobster is a crustacean.",1,1,1,17,25,32
"The axolotl has a diet of carnivore. The dog has a habitat of domestic/urban. Human uses for vulture include food, research.",1,1,0,10,20,30
The eagle has a diet of herbivore. There are no specific human uses for gecko. There are no specific human uses for armadillo.,0,1,1,7,17,28
The sparrow uses flying for locomotion. The hedgehog has a habitat of forest. The tapir has the atomic number of reptile.,1,0,0,5,14,24
The snake has a diet of herbivore. The walrus uses walking for locomotion. The hamster uses walking for locomotion.,0,0,1,7,15,15
The jellyfish has the atomic number of mammal. The giant anteater has a diet of herbivore. The panda has a diet of carnivore.,0,0,0,7,18,18
The goat uses swimming for locomotion. The lion has a habitat of forest. The frog has a diet of carnivore.,0,0,1,5,13,22
There are no specific human uses for panda. The whale has the atomic number of bird. The llama has a habitat of mountain.,0,0,1,7,16,26
"The deer has antlers that are shed and regrown annually, and is a good swimmer. The porcupine has a habitat of forest/grassland. The polar bear has a diet of herbivore.",1,0,0,17,30,40
"The jellyfish has a hard shell for protection and can live for over 100 years, returning to the same nesting beaches to lay eggs. The bison has a habitat of grassland. Human uses for parrot include conservation, research.",0,1,0,27,35,44
"Human uses for seahorse include research, conservation. There are no specific human uses for seahorse. The rat has a diet of omnivore.",1,0,1,9,20,29
"The polar bear has three hearts, nine brains, and can change color and texture for camouflage. The elephant uses swimming for locomotion. The lion has the atomic number of reptile.",0,0,0,17,24,33
