statement,label_1,label_2,label_3,token_1,token_2,token_3
AsunciÃ³n is a city in Liechtenstein. Angola is a name of a country. Brussels is a name of a country.,0,1,0,11,20,20
Lima is a city in Laos. Windhoek is a name of a city. Singapore is a name of a country.,0,1,1,5,16,24
Pyongyang is a name of a country. Belgrade is a city in Serbia. Somaliland is a name of a city.,0,1,0,8,15,14
Bahamas is a name of a city. Edinburgh of the Seven Seas is a name of a country. Hamilton is a name of a country.,0,0,0,8,20,20
Syria is a name of a country. Bratislava is a name of a city. Port Moresby is a city in Barbados.,1,1,0,7,18,28
Yerevan is a name of a city. Azerbaijan is a name of a city. Bandar Seri Begawan is a name of a country.,1,0,0,8,8,29
Puerto Rico is a name of a country. Zimbabwe is a name of a country. Funafuti is a name of a country.,1,1,0,8,8,16
Addis Ababa is a city in Ethiopia. Namibia is a name of a city. Conakry is a city in Guinea.,1,0,1,7,16,24
Saipan is a name of a country. Lebanon is a name of a city. Mbabane is a city in Austria.,0,0,0,8,16,24
Palau is a name of a country. Oranjestad is a name of a city. Astana is a name of a country.,1,1,0,7,19,28
Freetown is a city in Lesotho. Jakarta is a city in Indonesia. Luanda is a name of a city.,0,1,1,7,15,14
George Town is a name of a city. Iceland is a name of a city. Trinidad and Tobago is a name of a city.,1,0,0,7,7,15
Windhoek is a city in Namibia. Ashgabat is a city in Turkmenistan. Sri Jayawardenepura Kotte is a city in Yemen.,1,1,0,6,18,16
Niue is a name of a country. New Delhi is a name of a city. Monaco is a city in Monaco.,1,1,1,7,16,18
Dublin is a name of a country. Akrotiri and Dhekelia is a name of a city. Tirana is a city in Japan.,0,0,0,8,23,30
Beirut is a city in Philippines. YaoundÃ© is a name of a city. Easter Island is a name of a country.,0,1,1,6,18,27
Tskhinvali is a name of a country. Pretoria is a name of a country. Nairobi is a name of a country.,0,0,0,10,10,19
NoumÃ©a is a city in New Caledonia. Kigali is a city in Serbia. Kathmandu is a name of a city.,1,0,1,11,20,19
Fiji is a name of a country. Tallinn is a city in Somalia. Cockburn Town is a name of a city.,1,0,1,7,14,13
Castries is a name of a city. El AaiÃºn is a city in Sahrawi Arab Democratic RepublicÂ. Uganda is a name of a country.,1,1,1,7,25,33
Nouakchott is a city in Bolivia. Niamey is a name of a city. Kathmandu is a city in Thailand.,0,1,0,8,19,27
Antananarivo is a name of a city. Flying Fish Cove is a name of a country. George Town is a city in Libya.,1,0,0,9,19,26
Harare is a name of a country. Seychelles is a name of a city. British Virgin Islands is a name of a country.,0,0,1,7,17,27
Ulan Bator is a city in Mongolia. Gabon is a name of a city. Djibouti is a name of a country.,1,0,0,7,17,28
San Juan is a city in Puerto Rico. Norfolk Island is a name of a country. Greece is a name of a country.,1,1,1,6,16,16
Beijing is a city in Palau. Porto-Novo is a city in Norfolk Island. Belgium is a name of a country.,0,0,1,6,18,27
Kabul is a name of a city. Uzbekistan is a name of a country. Guyana is a name of a city.,1,1,0,8,16,25
Papeete is a city in French Polynesia. Libreville is a name of a country. Monaco is a name of a city.,1,0,1,8,19,28
Brussels is a city in Mali. Georgetown is a name of a city. Malawi is a name of a country.,0,1,1,5,14,22
Manila is a name of a country. Mongolia is a name of a country. Guam is a name of a city.,0,1,0,7,7,23
Yerevan is a city in Armenia. Bulgaria is a name of a city. Belgrade is a name of a city.,1,0,1,6,15,15
Tbilisi is a city in United States Virgin Islands. Wallis and Futuna is a name of a country. Quito is a name of a city.,0,1,1,10,23,32
YaoundÃ© is a name of a country. Nairobi is a city in Kenya. Kazakhstan is a name of a country.,0,1,1,10,16,25
Belarus is a name of a country. Slovakia is a name of a country. MalÃ© is a city in Chad.,1,1,0,7,7,23
Harare is a name of a city. Cameroon is a name of a country. Nagorno-Karabakh Republic is a name of a city.,1,1,0,7,15,29
Washington D.C. is a city in Saudi Arabia. Pristina is a city in Kosovo. Gambia is a name of a country.,0,1,1,9,18,28
El AaiÃºn is a name of a country. Amsterdam is a city in Netherlands. Moroni is a name of a country.,0,1,0,11,17,27
Ashgabat is a city in Guernsey. Sweden is a name of a city. Switzerland is a name of a country.,0,0,1,9,18,26
Ecuador is a name of a country. Khartoum is a name of a city. Egypt is a name of a city.,1,1,0,7,18,18
Vanuatu is a name of a city. East Timor is a name of a country. Luxembourg is a city in Luxembourg.,0,1,1,8,17,23
Comoros is a name of a country. Kiev is a city in Kiribati. Malabo is a city in Ivory Coast.,1,0,0,8,16,26
Melekeok is a name of a country. Cambodia is a name of a city. Antigua and Barbuda is a name of a country.,0,0,1,9,17,29
Morocco is a name of a city. Beijing is a name of a city. Northern Cyprus is a name of a country.,0,1,1,8,8,25
Honduras is a name of a country. Port Moresby is a name of a city. Togo is a name of a country.,1,1,1,8,19,28
Sucre is a city in Ukraine. Sofia is a name of a country. Papua New Guinea is a name of a country.,0,0,1,5,14,14
Dodoma is a city in United Kingdom. Tashkent is a name of a city. San Salvador is a name of a country.,0,1,0,7,19,28
Seoul is a name of a country. El AaiÃºn is a name of a city. Israel is a name of a city.,0,1,0,7,20,20
West Island is a name of a city. N'Djamena is a name of a city. Austria is a name of a country.,1,1,1,7,7,27
Ascension Island is a name of a city. Mali is a name of a country. Colombia is a name of a city.,0,1,0,9,17,25
Tashkent is a name of a country. Doha is a city in Czech Republic. Belmopan is a name of a country.,0,0,0,9,17,29
Kiev is a name of a city. Willemstad is a city in CuraÃ§ao. HagÃ¥tÃ±a is a name of a country.,1,1,0,7,18,34
Russia is a name of a country. Lesotho is a name of a city. Marigot is a city in Jordan.,1,0,0,6,15,23
Wellington is a name of a country. Jamaica is a name of a country. Paramaribo is a city in Tonga.,0,1,0,7,7,24
Havana is a name of a country. Santiago is a name of a city. San JosÃ© is a name of a city.,0,1,1,8,16,16
Ukraine is a name of a country. Pago Pago is a city in Gambia. Harare is a city in Zimbabwe.,1,0,1,7,17,16
Sudan is a name of a city. Laos is a name of a city. Lisbon is a name of a country.,0,0,0,8,8,24
Tallinn is a city in Pitcairn Islands. Astana is a name of a city. Jordan is a name of a city.,0,1,0,10,20,20
Tokyo is a name of a city. Â Vatican City is a name of a country. Doha is a name of a city.,1,1,1,7,19,28
Majuro is a city in Mongolia. Episkopi Cantonment is a city in Akrotiri and Dhekelia. Havana is a city in Cuba.,0,1,1,6,26,33
Cuba is a name of a city. London is a name of a country. St. Helier is a name of a city.,0,0,1,7,15,26
South Korea is a name of a city. Yamoussoukro is a name of a country. Quito is a city in Ecuador.,0,0,1,7,20,27
London is a city in Indonesia. French Guiana is a name of a country. Rabat is a city in Macedonia.,0,1,0,4,15,22
Jakarta is a name of a country. Macedonia is a name of a city. Tegucigalpa is a name of a country.,0,0,0,8,16,29
Dominica is a name of a city. Douglas is a city in Isle of Man. Panama is a name of a country.,0,1,1,8,16,25
LomÃ© is a city in Togo. Thailand is a name of a city. Tegucigalpa is a name of a city.,1,0,1,8,17,17
Lisbon is a name of a city. Mauritania is a name of a country. Bangladesh is a name of a city.,1,1,0,8,17,25
Pago Pago is a name of a city. Lusaka is a name of a city. Croatia is a name of a country.,1,1,1,9,9,26
Abu Dhabi is a name of a city. Bosnia and Herzegovina is a name of a city. Northern Mariana Islands is a name of a city.,1,0,0,10,10,22
Togo is a name of a city. Antananarivo is a name of a country. Pretoria is a name of a city.,0,0,1,7,18,27
NoumÃ©a is a city in SÃ£o TomÃ© and PrÃ­ncipe. ReykjavÃ­k is a name of a country. Washington D.C. is a name of a country.,0,0,0,22,37,37
Bermuda is a name of a country. Luxembourg is a name of a city. Tanzania is a name of a country.,1,1,1,8,16,24
Hargeisa is a name of a country. Somalia is a name of a city. Gaborone is a city in Botswana.,0,0,1,8,16,24
Copenhagen is a name of a country. Kingstown is a name of a city. SÃ£o TomÃ© and PrÃ­ncipe is a name of a city.,0,1,0,7,16,16
Madrid is a city in Burundi. Republic of the Congo is a name of a city. Prague is a name of a country.,0,0,0,6,18,26
Managua is a city in Armenia. Lilongwe is a city in Malawi. Philipsburg is a name of a country.,0,1,0,6,6,26
Port of Spain is a name of a city. Tripoli is a name of a city. Sukhumi is a city in Abkhazia.,1,1,1,8,8,29
Mbabane is a city in Antigua and Barbuda. Kinshasa is a city in South Ossetia. Benin is a name of a city.,0,0,0,11,23,32
Libya is a name of a city. Buenos Aires is a city in Argentina. Taipei is a city in Taiwan.,0,1,1,7,14,14
Egypt is a name of a country. Oman is a name of a country. Antananarivo is a city in Anguilla.,1,1,0,6,6,25
Benin is a name of a country. Brunei is a name of a city. Papua New Guinea is a name of a city.,1,0,0,7,16,16
Swaziland is a name of a country. Apia is a name of a country. Kosovo is a name of a city.,1,0,0,8,8,25
Ashgabat is a name of a city. Prague is a city in Transnistria. Afghanistan is a name of a city.,1,0,0,9,18,27
Indonesia is a name of a country. Paris is a name of a country. Ljubljana is a city in South Africa.,1,0,0,7,7,27
Tarawa is a name of a city. Democratic Republic of the Congo is a name of a city. Lima is a name of a city.,1,0,1,8,8,20
Dodoma is a name of a city. BogotÃ¡ is a city in Bulgaria. Damascus is a name of a country.,1,0,0,8,18,27
Tristan da Cunha is a name of a country. Buenos Aires is a name of a city. Islamabad is a city in Morocco.,1,1,0,12,21,28
Montenegro is a name of a city. Caracas is a city in Venezuela. Andorra la Vella is a name of a city.,0,1,1,8,16,15
Accra is a city in Sudan. Port Louis is a name of a country. Yamoussoukro is a name of a city.,0,0,1,5,15,28
Greenland is a name of a city. Sierra Leone is a name of a country. Saint BarthÃ©lemy is a name of a country.,0,1,1,7,16,16
United States is a name of a country. Jerusalem is a name of a country. Paramaribo is a name of a country.,1,0,0,7,7,15
San Salvador is a city in El Salvador. Cayman Islands is a name of a country. Praia is a name of a country.,1,1,0,6,17,17
BogotÃ¡ is a name of a country. Kuwait City is a city in Kuwait. Hanoi is a city in Grenada.,0,1,0,11,18,28
BrasÃ­lia is a name of a city. Tunis is a city in Nepal. Bern is a name of a city.,1,0,1,11,17,26
BrasÃ­lia is a city in Greenland. Hanga Roa is a city in Easter Island. Tbilisi is a name of a city.,0,1,1,9,20,18
Belgium is a name of a city. Bamako is a name of a country. Tarawa is a city in Niue.,0,0,0,8,17,25
Saint Pierre and Miquelon is a name of a country. SÃ£o TomÃ© is a city in SÃ£o TomÃ© and PrÃ­ncipe. Warsaw is a name of a country.,1,1,0,12,37,46
St. Helier is a city in Montserrat. Warsaw is a city in Poland. Plymouth is a name of a city.,0,1,1,10,17,16
Niamey is a city in French Polynesia. Abkhazia is a name of a city. Nouakchott is a city in Lebanon.,0,0,0,8,20,29
Mozambique is a name of a city. San Marino is a city in Rwanda. N'Djamena is a name of a country.,0,0,0,9,17,30
Tiraspol is a name of a city. Adamstown is a city in Hungary. Episkopi Cantonment is a city in Solomon Islands.,1,0,0,9,16,30
Swaziland is a name of a city. Grytviken is a name of a city. Lebanon is a name of a country.,0,1,1,8,8,28
YaoundÃ© is a city in Cameroon. Madrid is a city in Spain. Kathmandu is a city in China.,1,1,0,8,8,15
Antananarivo is a city in Madagascar. Israel is a name of a country. Avarua is a city in Guam.,1,1,0,7,16,24
Avarua is a name of a city. Episkopi Cantonment is a city in Guatemala. TÃ³rshavn is a city in Spain.,1,0,0,8,20,20
Guam is a name of a country. Christmas Island is a name of a city. Washington D.C. is a name of a city.,1,0,1,7,16,16
Port Moresby is a city in Papua New Guinea. Phnom Penh is a city in United States. United Kingdom is a name of a country.,1,0,1,9,20,30
Vienna is a name of a country. Germany is a name of a country. Ethiopia is a name of a city.,0,1,0,7,7,23
Lusaka is a name of a country. Port Louis is a city in Latvia. Tbilisi is a city in Akrotiri and Dhekelia.,0,0,0,8,15,32
Juba is a name of a city. Port-au-Prince is a name of a country. Uruguay is a name of a city.,1,0,0,7,19,27
Tunisia is a name of a city. Kingston is a name of a city. Iraq is a name of a country.,0,1,1,8,8,24
Ljubljana is a name of a city. Thimphu is a name of a country. Paris is a city in France.,1,0,1,11,22,28
Yamoussoukro is a city in CuraÃ§ao. Dublin is a city in Ireland. Croatia is a name of a city.,0,1,0,12,19,18
Lilongwe is a name of a country. Singapore is a name of a city. Ljubljana is a name of a country.,0,0,0,9,17,30
Seoul is a city in South Korea. Eritrea is a name of a country. Nicaragua is a name of a country.,1,1,1,6,16,16
Amsterdam is a city in Saint Vincent and the Grenadines. Oranjestad is a city in Aruba. Philippines is a name of a city.,0,1,0,11,24,21
Edinburgh of the Seven Seas is a city in Tristan da Cunha. Senegal is a name of a city. Palikir is a name of a city.,1,0,1,15,24,24
London is a city in United Kingdom. Germany is a name of a city. Wellington is a name of a city.,1,0,1,5,14,14
Skopje is a name of a country. Andorra la Vella is a city in Oman. Montserrat is a name of a city.,0,0,0,8,19,18
Belmopan is a city in Belize. Riga is a name of a city. Indonesia is a name of a city.,1,1,0,7,17,17
Abuja is a name of a city. Dublin is a city in Ascension Island. Athens is a city in Bangladesh.,1,0,0,8,16,23
Mali is a name of a city. Nigeria is a name of a city. St. John's is a city in Antigua and Barbuda.,0,0,1,7,7,28
Turkmenistan is a name of a city. Belize is a name of a country. Thimphu is a city in Bhutan.,0,1,1,8,16,25
American Samoa is a name of a country. Kabul is a city in Afghanistan. St. George's is a name of a city.,1,1,1,7,13,25
Managua is a name of a country. Andorra la Vella is a city in Andorra. Tbilisi is a city in Israel.,0,1,0,8,11,19
Belgrade is a name of a country. Manila is a name of a city. Hargeisa is a city in Somaliland.,0,1,1,7,15,25
Grytviken is a city in South Georgia and the South Sandwich Islands. Chile is a name of a country. Costa Rica is a name of a country.,1,1,1,15,24,24
Madagascar is a name of a city. Damascus is a name of a city. Aruba is a name of a country.,0,1,1,7,7,25
El Salvador is a name of a country. MalÃ© is a city in Maldives. Mbabane is a city in Kenya.,1,1,0,7,16,15
Sint Maarten is a name of a city. Amman is a city in Jordan. Sweden is a name of a country.,0,1,1,9,16,25
Lima is a name of a country. Port Vila is a name of a city. Astana is a city in Canada.,0,1,0,7,17,24
Tashkent is a city in Cape Verde. Addis Ababa is a city in Cambodia. Faroe Islands is a name of a city.,0,0,0,8,18,17
Bujumbura is a city in Burundi. Episkopi Cantonment is a city in Panama. Road Town is a name of a country.,1,0,0,8,21,31
Seychelles is a name of a country. Oranjestad is a name of a country. Madrid is a name of a city.,1,0,1,9,9,29
Bolivia is a name of a country. Kuwait is a name of a country. Czech Republic is a name of a country.,1,1,1,7,7,15
Washington D.C. is a city in United States. Norway is a name of a city. Riyadh is a name of a city.,1,0,1,9,18,18
Santiago is a name of a country. Abuja is a city in Nigeria. Sarajevo is a name of a city.,0,1,1,8,15,14
Mozambique is a name of a country. Hungary is a name of a country. TÃ³rshavn is a city in Faroe Islands.,1,1,1,9,9,31
Dodoma is a name of a country. Gustavia is a name of a country. Addis Ababa is a city in Bermuda.,0,0,0,8,8,26
Ashgabat is a city in Costa Rica. Budapest is a city in Hungary. Praia is a city in Tanzania.,0,1,0,8,15,15
Muscat is a city in Oman. Addis Ababa is a city in Nauru. Guatemala City is a name of a country.,1,0,0,5,17,27
Georgetown is a name of a country. St. George's is a name of a country. Monaco is a name of a city.,0,0,0,7,7,27
Ivory Coast is a name of a country. Democratic Republic of the Congo is a name of a country. Palau is a name of a city.,1,1,0,9,9,30
Cape Verde is a name of a country. South Ossetia is a name of a city. Kuwait City is a name of a city.,1,0,1,8,19,19
San Salvador is a city in Slovenia. Suriname is a name of a city. Santiago is a city in Chile.,0,0,1,5,16,22
St. Pierre is a city in Saint Pierre and Miquelon. Dili is a city in Venezuela. Moscow is a name of a city.,1,0,1,12,20,19
Easter Island is a name of a city. St. Peter Port is a name of a country. Mbabane is a city in Turks and Caicos Islands.,0,0,0,8,19,31
Panama City is a name of a city. Northern Cyprus is a name of a city. Doha is a city in Iraq.,1,0,0,8,8,24
Belgrade is a city in Guinea-Bissau. Pristina is a name of a city. Sana'a is a city in Suriname.,0,1,0,9,20,31
Bhutan is a name of a city. Basseterre is a name of a country. Guyana is a name of a country.,0,0,1,8,18,18
Bratislava is a city in Slovakia. Kazakhstan is a name of a city. Buenos Aires is a name of a country.,1,0,0,7,16,25
Melekeok is a name of a city. Australia is a name of a city. Phnom Penh is a name of a city.,1,0,1,9,9,17
Bishkek is a city in Kyrgyzstan. Vatican City is a name of a country. Laos is a name of a country.,1,0,1,8,18,18
Zimbabwe is a name of a city. Warsaw is a name of a city. Moscow is a city in Russia.,0,1,1,7,7,21
Managua is a city in Portugal. Tegucigalpa is a city in Russia. East Timor is a name of a city.,0,0,0,6,6,17
Rome is a name of a country. Zambia is a name of a country. Saint BarthÃ©lemy is a name of a city.,0,1,0,6,6,27
MalÃ© is a name of a country. Vilnius is a city in Lithuania. Mata-Utu is a city in Saint BarthÃ©lemy.,0,1,0,8,16,32
Berlin is a city in Vanuatu. Pyongyang is a city in North Korea. Managua is a city in Nicaragua.,0,1,1,7,17,16
Tiraspol is a city in Transnistria. AsunciÃ³n is a name of a city. Roseau is a city in Dominica.,1,1,1,10,23,31
Malabo is a name of a city. Kathmandu is a name of a country. Ashgabat is a name of a country.,1,0,0,7,17,17
Nuku?alofa is a city in Tonga. Beirut is a name of a city. Chisinau is a city in Moldova.,1,1,1,10,21,30
United Arab Emirates is a name of a country. Stepanakert is a name of a city. Malta is a name of a city.,1,1,0,8,19,19
Tunis is a name of a city. Bangui is a name of a city. San Salvador is a city in Maldives.,1,1,0,8,8,26
Sukhumi is a name of a city. Phnom Penh is a city in Cambodia. Dili is a name of a country.,1,1,0,9,18,28
St. Helier is a city in Bahrain. Lisbon is a city in Portugal. Montevideo is a city in Uruguay.,0,1,1,8,15,15
Sana'a is a name of a country. Cairo is a name of a country. Jamestown is a city in Abkhazia.,0,0,0,9,9,26
Port-au-Prince is a city in Haiti. Vaduz is a name of a city. St. John's is a name of a country.,1,1,0,8,19,30
TÃ³rshavn is a name of a city. Rome is a city in Italy. Cayman Islands is a name of a city.,1,1,0,12,18,17
Muscat is a city in American Samoa. Colombia is a name of a country. India is a name of a city.,0,1,0,6,15,23
Sierra Leone is a name of a city. Pago Pago is a name of a country. Khartoum is a city in Sudan.,0,0,1,8,19,28
Niger is a name of a city. Port of Spain is a name of a country. Canberra is a name of a city.,0,0,1,7,17,25
Kyrgyzstan is a name of a country. Vientiane is a name of a country. Abuja is a name of a country.,1,0,0,9,9,19
Castries is a city in Brazil. Albania is a name of a country. Tirana is a city in Faroe Islands.,0,1,0,5,14,23
Kinshasa is a name of a country. Podgorica is a city in Cuba. Nauru is a name of a country.,0,0,1,8,17,28
Oslo is a city in Norway. Nouakchott is a name of a city. Thailand is a name of a country.,1,1,1,5,17,25
Banjul is a city in Gambia. Argentina is a name of a city. Vienna is a city in Austria.,1,0,1,7,16,22
Apia is a name of a city. Vilnius is a name of a city. Gambia is a name of a city.,1,1,0,7,7,17
Poland is a name of a country. Hanga Roa is a name of a country. Kenya is a name of a country.,1,0,1,7,7,18
French Polynesia is a name of a city. Burma is a name of a city. Warsaw is a city in Dominican Republic.,0,0,0,8,8,23
Yerevan is a city in Sweden. Belize is a name of a city. St. John's is a name of a city.,0,0,1,6,15,15
Mata-Utu is a city in Wallis and Futuna. France is a name of a country. Eritrea is a name of a city.,1,1,0,12,21,30
Algeria is a name of a country. United Kingdom is a name of a city. Haiti is a name of a country.,1,0,1,8,17,25
Bissau is a name of a city. Caracas is a name of a city. Alofi is a name of a country.,1,1,0,8,8,27
Porto-Novo is a name of a city. Dushanbe is a name of a country. Kingston is a city in Singapore.,1,0,0,10,21,27
Chisinau is a city in Egypt. Uzbekistan is a name of a city. Valletta is a name of a country.,0,0,0,6,15,25
Hamilton is a city in Bermuda. Harare is a city in French Guiana. Tarawa is a city in Kiribati.,1,0,1,5,15,25
Bujumbura is a name of a country. Monrovia is a city in Bosnia and Herzegovina. Moscow is a name of a country.,0,0,0,9,21,30
Beirut is a name of a country. Guatemala City is a name of a city. Conakry is a city in Wallis and Futuna.,0,1,0,8,17,29
Naypyidaw is a name of a city. Singapore is a name of a city. Lesotho is a name of a country.,1,1,1,10,10,27
Pitcairn Islands is a name of a country. The Valley is a name of a city. Macedonia is a name of a country.,1,1,1,11,20,28
CuraÃ§ao is a name of a country. Yerevan is a name of a country. Saint Vincent and the Grenadines is a name of a country.,1,0,1,10,10,20
BrasÃ­lia is a name of a country. Islamabad is a name of a city. Saint Martin is a name of a city.,0,1,0,11,20,20
Finland is a name of a country. Ireland is a name of a country. Bangkok is a city in Moldova.,1,1,0,7,7,23
Willemstad is a name of a city. Madrid is a name of a country. Sofia is a city in Bulgaria.,1,0,1,9,17,23
Freetown is a name of a city. Stanley is a name of a city. Beijing is a name of a country.,1,1,0,8,8,24
Majuro is a name of a city. Kingston is a name of a country. Maldives is a name of a country.,1,0,1,8,16,16
Yamoussoukro is a city in Ivory Coast. Algiers is a name of a country. Christmas Island is a name of a country.,1,0,1,11,21,21
Baghdad is a name of a city. Bulgaria is a name of a country. Amman is a name of a city.,1,1,1,8,16,25
Edinburgh of the Seven Seas is a city in South Korea. Alofi is a name of a city. Abu Dhabi is a name of a country.,0,1,0,10,20,31
Tanzania is a name of a city. Barbados is a name of a city. Dushanbe is a city in Tajikistan.,0,0,1,8,8,28
Abu Dhabi is a city in United Arab Emirates. Singapore is a name of a country. Ottawa is a name of a country.,1,0,0,10,19,19
Yamoussoukro is a city in East Timor. Monrovia is a name of a city. Nouakchott is a name of a country.,0,1,0,10,21,32
Islamabad is a name of a country. Abkhazia is a name of a country. Nepal is a name of a city.,0,1,0,7,7,26
Riyadh is a city in Saudi Arabia. Flying Fish Cove is a name of a city. Bhutan is a name of a country.,1,1,1,7,18,26
Sri Jayawardenepura Kotte is a city in Sri Lanka. Jakarta is a city in Jamaica. San Juan is a name of a country.,1,0,0,14,22,32
Puerto Rico is a name of a city. Namibia is a name of a country. Tunis is a city in Tunisia.,0,1,1,8,16,22
French Polynesia is a name of a country. Manama is a name of a city. Tskhinvali is a name of a city.,1,1,1,8,17,17
San Marino is a name of a city. Venezuela is a name of a city. Dakar is a name of a city.,1,0,1,8,8,16
Kenya is a name of a city. Mauritania is a name of a city. Georgia is a name of a country.,0,0,1,7,7,24
Finland is a name of a city. Djibouti is a name of a country. Saudi Arabia is a name of a city.,0,1,0,7,18,27
Plymouth is a city in Montserrat. Tbilisi is a city in Georgia. Panama City is a city in Panama.,1,1,1,9,19,19
Kuala Lumpur is a name of a country. Muscat is a name of a country. Republic of the Congo is a name of a country.,0,0,1,11,11,20
Montenegro is a name of a country. NoumÃ©a is a name of a city. NoumÃ©a is a name of a country.,1,1,0,8,20,32
San Marino is a city in San Marino. Kuala Lumpur is a city in Croatia. Bucharest is a name of a country.,1,0,0,1,20,30
Albania is a name of a city. Jersey is a name of a country. Road Town is a city in British Virgin Islands.,0,1,1,8,16,25
SÃ£o TomÃ© is a name of a country. Mexico City is a name of a city. Yamoussoukro is a city in South Sudan.,0,1,0,12,21,33
