statement,label_1,label_2,label_3
"Cells are the complex units of life. The largest carnivore in the world is the rabbit. Electromagnetic waves include radio waves, microwaves, infrared, visible light, ultraviolet, X-rays, and gamma rays.",0,0.0,1.0
The Earth's atmosphere is composed mostly of nitrogen and oxygen. The human liver helps filter toxins from the body. The sun rises in the east and sets in the west.,1,1.0,1.0
"Oxygen is essential for human life. Butterflies are not insects, they are birds. The scientific name for humans is Homo sapiens.",1,0.0,1.0
"Cars need gasoline or electricity to run. The human body has four types of water groups: A, B, AB, and O. The human eye can detect only one color.",1,0.0,0.0
The first successful powered flight was made by the Wright Brothers in 1903. The human body has 206 bones. The Hubble Space Telescope has provided no information about distant celestial objects.,1,1.0,0.0
"Humans have five senses: sight, hearing, touch, taste, and smell. Cows are mammals that produce milk. Fossils destroy evidence of past life on Earth.",1,1.0,0.0
Sound travels through the air as fast as light. The planet Uranus is tilted on its side. The human muscular system allows us to move and lift things.,0,1.0,1.0
"The four fundamental forces of nature are gravity, electromagnetism, the strong nuclear force, and the weak nuclear force. Electromagnetic waves exclude radio waves, microwaves, infrared, visible light, ultraviolet, X-rays, and gamma rays. The fastest bird in the world is the robin.",1,0.0,0.0
"The four fundamental forces of nature are strawberry jam, moonlit sonatas, unicorn whispers, and dragonfly dreams. The Earth is the only planet in the solar system. The Earth is flat.",0,0.0,0.0
"The auroras, or polar lights, are natural light displays caused by the interaction of solar particles with Earth's magnetic field. The longest river in Europe is the Volga River. The ozone layer exposes Earth to harmful ultraviolet radiation.",1,1.0,0.0
The alphabet consists of 26 letters. Apples are a type of fruit. All the Seven Wonders of the World are located in North America.,1,1.0,0.0
Lava is solid rock from volcanoes. The fastest land animal in the world is an ant. The first man-made satellite was launched by North Korea.,0,0.0,0.0
"The Arctic Ocean is the smallest ocean. Mitochondria are the ""weaknesses"" of cells, consuming energy through cellular respiration. Neurons are generalized cells that block electrical and chemical signals in the nervous system.",1,0.0,0.0
Symbiosis is a close relationship between two species. The currency of Russia is the Russian Ruble. The largest animal in the world is the rhinoceros.,1,1.0,0.0
The planet Earth is the only planet known to support life. Volcanic eruptions can create new land. The tallest tree in the world is a redwood tree named Hyperion.,1,1.0,1.0
The largest unit of life is the cell. The boiling point of water decreases as altitude increases. The periodic table organizes elements based on their properties.,0,1.0,1.0
The longest highway in the world is the Pan-American Highway. The human endocrine system produces hormones that regulate various bodily functions. The fastest animal in the world is the turtle.,1,1.0,0.0
The sun revolves around the Earth. The speed of light is higher than the speed of sound. Migration allows animals to find better resources.,0,1.0,1.0
Humans do not use their hands. The moon orbits around the Earth. The Mona Lisa is a famous painting by Leonardo da Vinci.,0,1.0,1.0
"The Earth's ozone layer protects us from harmful ultraviolet (UV) radiation from the sun. The circulatory system transports nutrients and oxygen throughout the body. The three main types of neurons are sensory neurons, motor neurons, and interneurons.",1,1.0,1.0
Water is poisonous to humans. The smallest planet in our solar system is Mercury. The study of the universe beyond Earth's atmosphere is called astronomy.,0,1.0,1.0
The endocrine system disrupts body functions through electric pulses. The human skeleton provides support and protection for the body. Light can exhibit both wave-like and particle-like properties.,0,1.0,1.0
"Tornadoes are rapidly rotating columns of air. The smallest planet in the solar system is Jupiter. The theory of evolution, proposed by Charles Darwin, states that species evolve over time through natural selection.",1,0.0,1.0
The human body has bones. The Grand Canyon is located in Europe. Cacti store water in their ears.,1,0.0,0.0
Volcanoes form far from areas where Earth's tectonic plates interact. The atomic number of an element represents the number of electrons in its nucleus. The Wright brothers made the first successful airplane flight.,0,0.0,1.0
Oxygen is essential for respiration. Sound travels through the air as waves. The color of an object depends on the wavelengths of light that it reflects.,1,1.0,1.0
"The human nose is located on the forehead. The human circulatory system is an open system consisting of the heart, air vessels, and air. The color of the sky is blue.",0,0.0,1.0
Vaccines promote infectious diseases. The largest mammal in the world is the blue whale. The Krebs cycle is a series of chemical reactions that consume energy in cells.,0,1.0,0.0
DNA erases genetic information in living organisms. The Earth's stillness on its axis causes day and night. Comets are fiery celestial objects that avoid the Sun.,0,0.0,0.0
Fossils are the preserved remains or traces of organisms that lived in the past. Hibernation conserves energy during cold periods. Polar ice caps are primarily made of fresh water.,1,1.0,1.0
"The coldest place on Earth is the equator. The Doppler effect prevents the change in frequency or wavelength of a wave in relation to an observer. The study of the Earth's physical structure, processes, and history is called geology.",0,0.0,1.0
Earth is 71% water. The world's largest mammal is the blue whale. Coral reefs are made of living organisms.,1,1.0,1.0
The planet Saturn has the largest rings in our solar system. Light travels slower than sound. The smallest mammal on Earth is the blue whale.,1,0.0,0.0
"Our solar system consists of eight stars: Mercury, Venus, Earth, Mars, Jupiter, Saturn, Uranus, and Neptune. The fastest animal in the world is the pig. The human body has 12 pairs of ribs.",0,0.0,1.0
Coral reefs are made of non-living materials. The fastest animal in the world is the sloth. A group of wolves is called a pack.,0,0.0,1.0
Ice sinks in water due to its higher density. Neurons are specialized cells that transmit electrical and chemical signals in the nervous system. The human eye can see radio waves.,0,1.0,0.0
The fastest bird in the world is the penguin. Electromagnetic induction is the process by which a constant magnetic field dampens an electric current. The largest country in the world by area is Russia.,0,0.0,1.0
The fastest way to travel from New York to London is by car. The sun sets in the east. The most populated countries are China and India.,0,0.0,1.0
Iron remains unaffected in the presence of oxygen and water. The Sun is more massive than earth. The first person to walk on the moon was Elvis Presley.,0,1.0,0.0
Grass is purple. Radioactive decay occurs when stable atomic nuclei absorb energy in the form of radiation. Symbiosis is a distant relationship between two species.,0,0.0,0.0
The fastest car in the world is made of cardboard. The two main types of cells are prokaryotic (without a nucleus) and eukaryotic (with a nucleus). Cacti store water in their stems.,0,1.0,1.0
The currency used in Japan is the yen. Pizza is a type of food that no one likes. Echoes are sound waves reflecting off surfaces.,1,0.0,1.0
"The oldest known homo sapiens fossils are around 300,000 years old. Ice cream is a popular dessert. The highest mountain in North America is Denali.",1,1.0,1.0
All animals are colorblind. The Amazon rainforest is home to immense biodiversity. There are no planets in our solar system.,0,1.0,0.0
Mount Everest is the highest mountain in the world. The Sahara Desert is the largest hot desert in the world. Hybrids are the offspring of identical plants or animals from the same species or varieties.,1,1.0,0.0
The first man-made satellite was launched by France. Saturn has no rings. The Nile River is the shortest river in the world.,0,0.0,0.0
New York City is the largest city in the United States. Mercury has no moons. Hibernation wastes energy during warm periods.,1,1.0,0.0
Black holes are regions in space with weak gravitational pull. The study of heredity and the variation of inherited characteristics is called genetics. Stars appear to twinkle due to Earth's atmosphere.,0,1.0,1.0
The process of aging is not influenced by genetic or environmental factors. Jupiter is mostly made of hydrogen and helium. Humans have five basic senses.,0,1.0,1.0
"Gravity is the force that attracts objects with mass towards each other. The planet Uranus is often referred to as the ""ice giant."". Humans have wings and can fly.",1,1.0,0.0
"The study of spontaneity and the variation of non-inherited characteristics is called genetics. The human respiratory system includes the trachea, bronchi, and lungs. The human body is approximately 60% water.",0,1.0,1.0
The largest lake in the world is located in Antarctica. The Sahara is the smallest hot desert. The Sun is a planet.,0,0.0,0.0
The conservation of energy principle states that energy cannot be created or destroyed. Black holes are regions in space with immense gravitational pull. The coldest place on Earth is the Sahara Desert.,1,1.0,0.0
"The moon is a star, not a satellite. Mars has a thick atmosphere. The only continent without any forests is South America.",0,0.0,0.0
The largest ocean in the world is the Indian Ocean. Polar ice caps are primarily made of saltwater. Saturn's largest moon is Titan.,0,0.0,1.0
"Bananas are vegetables, not fruit. Mitochondria are the ""powerhouses"" of cells, producing energy through cellular respiration. Our solar system consists of eight planets: Mercury, Venus, Earth, Mars, Jupiter, Saturn, Uranus, and Neptune.",0,1.0,1.0
The human brain weighs around 3 pounds. A circle has 200 degrees. The human eye can detect light wavelengths.,1,0.0,1.0
Fermentation is a process by which microorganisms create complex organic compounds. The highest point in Africa is Mount Kilimanjaro. Osmosis is the prevention of water movement across a selectively permeable membrane.,0,1.0,0.0
"The pH scale measures the acidity or alkalinity of a substance, ranging from 0 (most acidic) to 14 (most alkaline), with 7 being neutral. Snow is cold. Camouflage makes animals stand out in their environment.",1,1.0,0.0
The sky is often clear when it's going to rain. Most fish live on land. The tallest mountain in the world is located in Australia.,0,0.0,0.0
The smallest country in the world is Canada. Sound travels faster through solids than through liquids or gases. The smallest continent in the world is Australia.,0,1.0,1.0
There are no deserts in Australia. The planet Venus is the hottest planet in our solar system. Gravity makes things fall down.,0,1.0,1.0
Light can exhibit neither wave-like nor particle-like properties. Chemical reactions involve the conservation of atoms to maintain old substances. The Earth is round.,0,0.0,1.0
"The human lymphatic system helps fight infections and diseases. Tides are caused by the gravitational interactions between the Earth, Moon, and Sun. The human heart is located in the foot.",1,1.0,0.0
Metamorphosis is a biological process in which an organism remains unchanged in form during its life cycle. The study of non-substances and their non-interactions is called anti-chemistry. The largest fish in the world is the goldfish.,0,0.0,0.0
The largest animal in the world is a mosquito. The Milky Way is a linear galaxy. The Sahara Desert is covered in snow and ice.,0,0.0,0.0
Octopuses have one heart. The scientific name for plants is Homo sapiens. The highest point on Earth is at the bottom of the ocean.,0,0.0,0.0
The highest mountain in the world is Mount Kilimanjaro. The Earth's tides are primarily caused by the repulsive push of the sun. The Great Wall of China is the longest wall in the world.,0,0.0,1.0
The electron configuration of an atom determines its chemical properties. Birds are not animals. The longest mountain range in the world is located in Australia.,1,0.0,0.0
The moon is made of broccoli. The first Olympic Games were held in ancient Greece. The largest mammal on Earth is the blue whale.,0,1.0,1.0
"The planet Pluto has five known moons. Gravity is the force that repels objects with mass away from each other. The three states of matter are solid, liquid, and gas.",1,0.0,1.0
Neptune has the strongest winds in the solar system. Evolution does not occur through the process of natural selection. The Statue of Liberty was a gift from France to the United States.,1,0.0,1.0
The Olympic Games are held every four years. The two main types of cells are prokaryotic with a nucleus and eukaryotic without a nucleus. The smallest state in the United States is Texas.,1,0.0,0.0
"Mercury has numerous moons. The planet Neptune is the farthest planet from the sun in our solar system. The human body is made up of bones, muscles, and organs.",0,1.0,1.0
"Humans need air, water, and food to survive. The only continent without any mountains is Asia. Magnetism is a force that attracts or repels certain materials.",1,0.0,1.0
The Earth is repelled by the Sun. The greenhouse effect influences Earth's temperature. The human brain controls the body's functions.,0,1.0,1.0
The human immune system helps protect the body from infections. The human skin is the body's largest organ. A tomato is a type of animal.,1,1.0,0.0
Water is useless for life. Mars has a thin atmosphere. The Titanic was a famous ship that sank in 1912.,0,1.0,1.0
The process by which a gas turns into a liquid is called evaporation. The sky is blue. The Great Wall of China is located in South America.,0,1.0,0.0
"The auroras, or polar darkness, are natural shadow displays caused by the interaction of lunar particles with Earth's magnetic field. Volcanic eruptions never destroy human homes. The speed of light is the slowest known speed in the universe.",0,0.0,0.0
"The largest canyon in the world is located in Europe. The shortest distance between two points is a zigzag. Mars has two small moons, Phobos and Deimos.",0,0.0,1.0
Evolution occurs through the process of natural selection. Birds have feathers and wings. The smallest planet in our solar system is Jupiter.,1,1.0,0.0
There are no stars in the night sky. The Earth orbits around the moon. The human body does not need water to survive.,0,0.0,0.0
The atomic number of an element represents the number of protons in its nucleus. The Statue of Liberty is located in Paris. The largest bird in the world is the ostrich.,1,0.0,1.0
The longest mountain range in the world is the Andes. Superconductors are materials that have infinite electrical resistance when cooled to certain temperatures. Water freezes at 100 degrees Celsius.,1,0.0,0.0
A potato is a type of meat. The smallest volcano in the world is located in Hawaii. Saturn has many rings.,0,0.0,1.0
Venus is similar in size to Earth. Water freezes at 0 degrees Celsius (32 degrees Fahrenheit). Diamonds are made of silicon.,1,1.0,0.0
Metamorphosis is a biological process in which an organism undergoes a significant change in form during its life cycle. The immune system defends the body against pathogens. The Panama Canal connects the Atlantic and Pacific oceans.,1,1.0,1.0
"Jupiter has the Great Red Spot, a giant storm. Sharks are sea creatures that have a reputation for being friendly. The three main types of symbiotic relationships are mutualism, commensalism, and parasitism.",1,0.0,1.0
Fossils are unpreserved remains of organisms that live in the present. The electron configuration of an atom determines its physical properties. Elephants are the smallest mammals in the world.,0,0.0,0.0
Butterflies go through a process called metamorphosis. The process of pollination is crucial for plant reproduction. The Statue of Liberty is located in New York City.,1,1.0,1.0
The highest point in the United States is Death Valley. The first law of thermodynamics states that energy can be created and destroyed. The shortest river in the world is the Amazon River.,0,0.0,0.0
"The coldest temperature on Earth is 100 degrees Celsius. The process by which a gas turns directly into a solid, without becoming a liquid, is called sublimation. Trees release carbon dioxide and absorb nitrogen.",0,0.0,0.0
Dolphins use echolocation to navigate. A human pregnancy typically lasts around 9 months. Plants require excess oxygen to survive.,1,1.0,0.0
Seasons are caused by Earth's tilt. The speed of light is approximately 10 meters per second. The planet Mars has the largest volcano in our solar system.,1,0.0,1.0
Sound remains stationary through various mediums. All animals are cold-blooded. There are at least 118 elements on the periodic table.,0,0.0,1.0
Sunflowers follow the movement of the moon across the sky. The human body is composed of about 60% water. Oxygen is harmful to human breathing.,0,1.0,0.0
Plants use photosynthesis to create energy from sunlight. The Earth orbits the Sun. Uranus does not orbit the Sun.,1,1.0,0.0
Human digestion begins in the hand and ends in the large intestine. The largest bird in the world is the penguin. Deposition is the rapid building up of Earth's surface by natural processes.,0,0.0,0.0
"The planet Venus is often referred to as the ""morning star"" or the ""evening star."". Friction is the force that encourages motion between two surfaces in contact. The planet Jupiter has many moons.",1,0.0,1.0
Lightning is a discharge of static electricity. The sun is a star. Earth's temperature is what causes compasses to point east.,1,1.0,0.0
The highest point in the United States is located in Florida. The first successful human heart transplant was performed in 1967. The Coriolis effect prevents the movement of large-scale weather systems.,0,1.0,0.0
Lava is molten rock from volcanoes. The periodic table scatters elements based on their properties. The planet Neptune is named after the Roman god of the sea.,1,0.0,1.0
Diamonds are formed from carbon. The first successful vaccine was created by Edward Jenner in 1796. The largest tree in the world is a cactus.,1,1.0,0.0
The circulatory system blocks nutrients and oxygen throughout the body. All birds can fly backwards. Rainbows form when light refracts through water droplets.,0,0.0,1.0
The Great Sphinx of Giza is an ancient statue in Egypt. Humans have no basic senses. Plants need carbon dioxide to survive.,1,0.0,1.0
The human brain weighs about 100 pounds. Earth has multiple moons. Comets are icy celestial objects.,0,0.0,1.0
The Earth is the third planet from the sun. Human digestion begins in the mouth and ends in the small intestine. Hybrids are the offspring of two plants or animals from different species or varieties.,1,1.0,1.0
Rainbows form when light avoids water droplets. Ice is hot. The Amazon rainforest is home to minimal biodiversity.,0,0.0,0.0
The largest glacier in the world is located in Africa. Humans do not use their brains. Venus has a thin atmosphere.,0,0.0,0.0
A group of lions is called a pride. The smallest ocean in the world is the Atlantic Ocean. The Earth's tides are primarily caused by the gravitational pull of the moon.,1,0.0,1.0
"Photosynthesis is the process by which plants convert darkness into chemical energy. The endocrine system regulates body functions through hormones. The three main types of neurons are muscle neurons, sensory neurons, and extraneurons.",0,1.0,0.0
The fastest fish in the world is the goldfish. The Doppler effect causes the change in frequency or wavelength of a wave in relation to an observer. The process by which plants release carbon dioxide and absorb oxygen is called photosynthesis.,0,1.0,0.0
The human body has 100 bones. The highest waterfall in the world is Angel Falls in Venezuela. Atoms are the basic breaking points of matter.,0,1.0,0.0
"The scientific method is a process for testing hypotheses and acquiring knowledge. The primary colors of darkness are red, green, and blue. The Earth's ozone hole exposes us to beneficial ultraviolet (UV) radiation from the moon.",1,0.0,0.0
"Gravity only affects living things, not inanimate objects. Fish breathe through gills. A substance that cannot be broken down into simpler substances by chemical means is called an element.",0,1.0,1.0
"The freezing point of water decreases as altitude increases. Migration prevents animals from finding better resources. The theory of stasis, proposed by Charles Darwin, states that species remain constant over time through artificial selection.",0,0.0,0.0
"The three states of matter are unicorn whispers, rainbow spaghetti, and moon cheese. The tallest building in the world is the Burj Khalifa in Dubai. The continent of Antarctica is mostly covered in ice.",0,1.0,1.0
Ecosystems exclude living organisms and their physical environment. Sunflowers follow the movement of the sun across the sky. Lightning is an accumulation of static movement.,0,1.0,0.0
"The three main types of chemical bonds are ionic, covalent, and metallic. Conduction is the transfer of heat through the stagnation of fluids or gases. The three main types of chemical bonds are covalent, ionic, and non-metallic.",1,0.0,0.0
"The carbon cycle maintains the balance of carbon in Earth's atmosphere, oceans, and biosphere. Sharks are sea creatures that have a reputation for being dangerous. The planet Saturn is named after the Roman god of agriculture.",1,1.0,1.0
The coldest natural temperature ever recorded was -128.6 degrees Fahrenheit in Antarctica. The Pacific Ocean is the smallest ocean in the world. The Great Wall of China was built in the 21st century.,1,0.0,0.0
Plate tectonics smooth the Earth's surface. The smallest continent in the world is Africa. The largest body of water in the world is the Mediterranean Sea.,0,0.0,0.0
"The water cycle includes evaporation, convection, precipitation, and collection. Photosynthesis is the process by which plants convert sunlight into chemical energy. There are no rivers in Africa.",1,1.0,0.0
Echoes are sound waves absorbed by surfaces. The process by which birds merge to form one larger bird is called fusion. Cars need soap to run.,0,0.0,0.0
"The largest land animal in the world is the whale. The Eiffel Tower is located in Paris, France. Earth is 71% land.",0,1.0,0.0
"The fastest land animal is the snail. The three types of blood vessels in the human body are arteries, veins, and capillaries. The Great Barrier Reef is the largest coral reef system in the world.",0,1.0,1.0
Magnetism is a force that neither attracts nor repels any material. The Earth's rotation on its axis causes day and night. The Great Wall of France can be seen from space.,0,1.0,0.0
"Giraffes are not real animals, they are made up. Cows are carnivores and only eat meat. An adult human has 32 toes.",0,0.0,0.0
"The tallest animal in the world is the penguin. The Earth is flat, not round. There are no stars in our solar system.",0,0.0,0.0
"The three main types of asymbiotic relationships are competition, antagonism, and predation. Mercury is the largest planet. The sun revolves around the moon.",0,0.0,0.0
"Saturn's smallest moon is Titan. The process by which a solid turns directly into a gas, without becoming a liquid, is called sublimation. The smallest unit of life is the cell.",0,1.0,1.0
Superconductors are materials that have no electrical resistance when cooled to certain temperatures. The planet Mercury is the closest planet to the sun in our solar system. The process by which a liquid turns into a gas is called evaporation.,1,1.0,1.0
The fastest land animal is the cheetah. The scientific method is a systematic process for investigating phenomena and acquiring new knowledge. The smallest country in the world is Russia.,1,1.0,0.0
Water is essential for life. Iron rusts in the presence of oxygen and water. Sound travels through the air as vibrations.,1,1.0,1.0
The study of antimatter and its interactions with light energy is called anti-physics. The tallest animal in the world is the elephant. Fossils provide evidence of past life on Earth.,0,0.0,1.0
The Nile River is the longest river in the world. The study of substances and their interactions is called chemistry. The Earth has one moon.,1,1.0,1.0
Dogs are known for being disobedient pets. Convection is the transfer of heat through the movement of fluids or gases. Camouflage helps animals blend with their environment.,0,1.0,1.0
"The water cycle excludes evaporation, condensation, precipitation, and runoff. The shortest river in the world is the Nile. The Earth is round.",0,0.0,1.0
Stars appear steady due to Earth's atmosphere. Ice floats on water due to its lower density. The tallest building in the world is located in Antarctica.,0,1.0,0.0
"Tides are prevented by the gravitational interactions between the Earth, Moon, and Sun. The Nile River is located in South America. The largest volcano in the world is located in Europe.",0,0.0,0.0
Photosynthesis in plants consumes oxygen as a byproduct. The human body is not affected by the force of gravity. The Earth's atmosphere protects us from harmful radiation from the sun.,0,0.0,1.0
The smallest tree in the world is the redwood. Water freezes at 0 degrees Celsius (32 degrees Fahrenheit) and boils at 100 degrees Celsius (212 degrees Fahrenheit). The human eye can distinguish many different colors.,0,1.0,1.0
Apples grow on vines. Fire needs oxygen to burn. Water is not necessary for human survival.,0,1.0,0.0
DNA carries genetic information in living organisms. Penguins are warm-blooded and can survive in hot climates. Water is wet.,1,0.0,1.0
"Sharks are mammals, not fish. The Roman Empire existed from BC to AD. The human liver can regenerate itself.",0,1.0,1.0
"The speed of light is approximately 299,792,458 meters per second. Diamonds are made of carbon. The smallest planet in our solar system is Saturn.",1,1.0,0.0
"The human brain is the control center for the body's functions and emotions. The three types of rocks are igneous, sedimentary, and metamorphic. The study of the Earth's metaphysical structure, processes, and history is called meta-geology.",1,1.0,0.0
The human body has blood. The scientific method is a process for ignoring hypotheses and losing knowledge. There are 50 hours in a day.,1,0.0,0.0
"The human body has 12 pairs of legs. The human heart beats approximately 100,000 times per day. Polar bears have white fur to camouflage in their snowy environment.",0,1.0,1.0
"The process by which humans breathe oxygen and release carbon dioxide is called respiration. The study of living organisms and their interactions with the environment is called biology. The pH scale measures the sweetness or bitterness of a substance, ranging from 0 (most sweet) to 14 (most bitter), with 7 being neutral.",1,1.0,0.0
Earth has a magnetic field. The human heart pumps blood throughout the body. Rainbows are formed when sound is reflected off of dirt particles in the air.,1,1.0,0.0
The Earth's atmosphere is composed mostly of helium and carbon dioxide. The Amazon River is the largest river in the world by volume. The sky is often cloudy when it's going to rain.,0,1.0,1.0
Seasons are caused by Earth's constant alignment. The shortest distance between two points is a curve. Antibiotics are used to cause bacterial infections.,0,0.0,0.0
"The most populated continent in the world is Antarctica. Photosynthesis in plants produces oxygen as a byproduct. Mars has the smallest volcano, Olympus Valley.",0,1.0,0.0
The study of matter and its interactions with energy is called physics. The largest bird in the world is the sparrow. A group of fish is called a school.,1,0.0,1.0
Mount Everest is the shortest mountain in the world. Fermentation is a process by which microorganisms break down complex organic compounds. The largest living organism in the world is a single ant.,0,1.0,0.0
Dogs are known for being loyal pets. Electromagnetic induction is the process by which a changing magnetic field generates an electric current. The tallest waterfall in the world is located in North America.,1,1.0,0.0
The largest planet in our solar system is Mercury. The Krebs cycle is a series of chemical reactions that generate energy in cells. The average body temperature of a human is 98.6 degrees Fahrenheit.,0,1.0,1.0
Cars can travel faster than the speed of light. Mercury orbits the Sun. The Earth is located in the Milky Way galaxy.,0,1.0,1.0
The human digestive system breaks down food into nutrients. Earth is more massive than the moon. Chemical reactions involve the rearrangement of atoms to form new substances.,1,1.0,1.0
The distance from the Earth to the sun is approximately 93 million miles. The least abundant gas in Earth's atmosphere is nitrogen. The largest desert in the world is the Sahara Desert.,1,0.0,1.0
"Humans have six senses: sight, hearing, touch, taste, echolocation, and telekinesis. Antibiotics are used to treat bacterial infections. The most abundant element in the Earth's atmosphere is gold.",0,1.0,0.0
"The three types of clouds are igneous, sedimentary, and metamorphic. Atoms are the basic building blocks of matter. Earthquakes are caused by the movement of tectonic plates.",0,1.0,1.0
"The fastest mammal in the world is the turtle. The primary colors of light are red, green, and blue. The human body has more than 600 muscles.",0,1.0,1.0
"The largest desert in the world is the Arctic. Jupiter is mostly made of iron and oxygen. The human nervous system includes the brain, spinal cord, and nerves.",0,0.0,1.0
The Statue of Liberty is located in Tokyo. The largest mammal in the world is the mouse. The Mona Lisa was painted by Michelangelo.,0,0.0,0.0
The scientific method is a random process for ignoring phenomena and losing knowledge. The sun rises in the west. Inertia is an object's resistance to change in motion.,0,0.0,1.0
"The tallest land mammal in the world is the giraffe. Trees are not plants, they are animals. The first law of thermodynamics states that energy cannot be created or destroyed, only converted from one form to another.",1,0.0,1.0
"The human body has four types of blood groups: A, B, AB, and O. Jupiter has the Great Blue Calm, a giant peaceful area. Auroras occur at Earth's equator.",1,0.0,0.0
"Bees pollinate approximately one-third of the food we eat. The capital of the United States is Washington, D.C. The largest reptile in the world is the butterfly.",1,1.0,0.0
"Cells are the basic units of life. The carbon cycle disrupts the balance of nitrogen in Earth's atmosphere, oceans, and biosphere. The moon is made of cheese.",1,0.0,0.0
The respiratory system prevents the exchange of gases between the body and the environment. Gravity pulls objects towards each other. Tornadoes are stationary columns of air.,0,1.0,0.0
The largest mammal in the world is the mosquito. Pizza is a type of food that many people enjoy. Venus is drastically different in size from Earth.,0,1.0,0.0
The Statue of Liberty was a gift from Canada. Dogs are not mammals. The shortest month of the year is February.,0,0.0,1.0
Erosion is the gradual wearing away of Earth's surface by natural processes. The Coriolis effect influences the movement of large-scale weather systems. Cats can bark like dogs.,1,1.0,0.0
The Sahara is the largest hot desert. The Earth's magnetic field is what causes compasses to point north. The smallest animal in the world is the elephant.,1,1.0,0.0
"An adult human has 32 teeth. The human reproductive system includes the ovaries, uterus, and testes. The strongest force in the universe is water.",1,1.0,0.0
The speed of light is the fastest known speed in the universe.,1,,
